"","batch.name","model.id","type"
"1","X-1655.binimetinib","X.1655.biib","treatment"
"2","X-1655.binimetinib","X.1655.uned","control"
"3","X-1655.BKM120","X.1655.BK20","treatment"
"4","X-1655.BKM120","X.1655.uned","control"
"5","X-1655.BKM120 + encorafenib","X.1655.BK20.enib","treatment"
"6","X-1655.BKM120 + encorafenib","X.1655.uned","control"
"7","X-1655.CGM097","X.1655.CG97","treatment"
"8","X-1655.CGM097","X.1655.uned","control"
"9","X-1655.CLR457","X.1655.CL57","treatment"
"10","X-1655.CLR457","X.1655.uned","control"
"11","X-1655.dacarbazine","X.1655.dane","treatment"
"12","X-1655.dacarbazine","X.1655.uned","control"
"13","X-1655.encorafenib","X.1655.enib","treatment"
"14","X-1655.encorafenib","X.1655.uned","control"
"15","X-1655.encorafenib + binimetinib","X.1655.enib.biib","treatment"
"16","X-1655.encorafenib + binimetinib","X.1655.uned","control"
"17","X-1655.LDE225","X.1655.LD25","treatment"
"18","X-1655.LDE225","X.1655.uned","control"
"19","X-1655.LDK378","X.1655.LD78","treatment"
"20","X-1655.LDK378","X.1655.uned","control"
"21","X-1655.LEE011","X.1655.LE11","treatment"
"22","X-1655.LEE011","X.1655.uned","control"
"23","X-1655.LEE011 + binimetinib","X.1655.LE11.biib","treatment"
"24","X-1655.LEE011 + binimetinib","X.1655.uned","control"
"25","X-1655.LEE011 + encorafenib","X.1655.LE11.enib","treatment"
"26","X-1655.LEE011 + encorafenib","X.1655.uned","control"
"27","X-1655.LGW813","X.1655.LG13","treatment"
"28","X-1655.LGW813","X.1655.uned","control"
"29","X-1655.TAS266","X.1655.TA66","treatment"
"30","X-1655.TAS266","X.1655.uned","control"
"31","X-1655.WNT974","X.1655.WN74","treatment"
"32","X-1655.WNT974","X.1655.uned","control"
"33","X-1906.binimetinib","X.1906.biib","treatment"
"34","X-1906.binimetinib","X.1906.uned","control"
"35","X-1906.BKM120","X.1906.BK20","treatment"
"36","X-1906.BKM120","X.1906.uned","control"
"37","X-1906.BKM120 + encorafenib","X.1906.BK20.enib","treatment"
"38","X-1906.BKM120 + encorafenib","X.1906.uned","control"
"39","X-1906.CGM097","X.1906.CG97","treatment"
"40","X-1906.CGM097","X.1906.uned","control"
"41","X-1906.CLR457","X.1906.CL57","treatment"
"42","X-1906.CLR457","X.1906.uned","control"
"43","X-1906.dacarbazine","X.1906.dane","treatment"
"44","X-1906.dacarbazine","X.1906.uned","control"
"45","X-1906.encorafenib","X.1906.enib","treatment"
"46","X-1906.encorafenib","X.1906.uned","control"
"47","X-1906.encorafenib + binimetinib","X.1906.enib.biib","treatment"
"48","X-1906.encorafenib + binimetinib","X.1906.uned","control"
"49","X-1906.LDE225","X.1906.LD25","treatment"
"50","X-1906.LDE225","X.1906.uned","control"
"51","X-1906.LDK378","X.1906.LD78","treatment"
"52","X-1906.LDK378","X.1906.uned","control"
"53","X-1906.LEE011","X.1906.LE11","treatment"
"54","X-1906.LEE011","X.1906.uned","control"
"55","X-1906.LEE011 + binimetinib","X.1906.LE11.biib","treatment"
"56","X-1906.LEE011 + binimetinib","X.1906.uned","control"
"57","X-1906.LEE011 + encorafenib","X.1906.LE11.enib","treatment"
"58","X-1906.LEE011 + encorafenib","X.1906.uned","control"
"59","X-1906.LGW813","X.1906.LG13","treatment"
"60","X-1906.LGW813","X.1906.uned","control"
"61","X-1906.TAS266","X.1906.TA66","treatment"
"62","X-1906.TAS266","X.1906.uned","control"
"63","X-1906.WNT974","X.1906.WN74","treatment"
"64","X-1906.WNT974","X.1906.uned","control"
"65","X-2163.binimetinib","X.2163.biib","treatment"
"66","X-2163.binimetinib","X.2163.uned","control"
"67","X-2163.BKM120","X.2163.BK20","treatment"
"68","X-2163.BKM120","X.2163.uned","control"
"69","X-2163.BKM120 + encorafenib","X.2163.BK20.enib","treatment"
"70","X-2163.BKM120 + encorafenib","X.2163.uned","control"
"71","X-2163.CGM097","X.2163.CG97","treatment"
"72","X-2163.CGM097","X.2163.uned","control"
"73","X-2163.CLR457","X.2163.CL57","treatment"
"74","X-2163.CLR457","X.2163.uned","control"
"75","X-2163.dacarbazine","X.2163.dane","treatment"
"76","X-2163.dacarbazine","X.2163.uned","control"
"77","X-2163.encorafenib","X.2163.enib","treatment"
"78","X-2163.encorafenib","X.2163.uned","control"
"79","X-2163.encorafenib + binimetinib","X.2163.enib.biib","treatment"
"80","X-2163.encorafenib + binimetinib","X.2163.uned","control"
"81","X-2163.LDE225","X.2163.LD25","treatment"
"82","X-2163.LDE225","X.2163.uned","control"
"83","X-2163.LDK378","X.2163.LD78","treatment"
"84","X-2163.LDK378","X.2163.uned","control"
"85","X-2163.LEE011","X.2163.LE11","treatment"
"86","X-2163.LEE011","X.2163.uned","control"
"87","X-2163.LEE011 + binimetinib","X.2163.LE11.biib","treatment"
"88","X-2163.LEE011 + binimetinib","X.2163.uned","control"
"89","X-2163.LEE011 + encorafenib","X.2163.LE11.enib","treatment"
"90","X-2163.LEE011 + encorafenib","X.2163.uned","control"
"91","X-2163.LGW813","X.2163.LG13","treatment"
"92","X-2163.LGW813","X.2163.uned","control"
"93","X-2163.TAS266","X.2163.TA66","treatment"
"94","X-2163.TAS266","X.2163.uned","control"
"95","X-2163.WNT974","X.2163.WN74","treatment"
"96","X-2163.WNT974","X.2163.uned","control"
"97","X-2306.binimetinib","X.2306.biib","treatment"
"98","X-2306.binimetinib","X.2306.uned","control"
"99","X-2306.BKM120","X.2306.BK20","treatment"
"100","X-2306.BKM120","X.2306.uned","control"
"101","X-2306.BKM120 + encorafenib","X.2306.BK20.enib","treatment"
"102","X-2306.BKM120 + encorafenib","X.2306.uned","control"
"103","X-2306.CGM097","X.2306.CG97","treatment"
"104","X-2306.CGM097","X.2306.uned","control"
"105","X-2306.CLR457","X.2306.CL57","treatment"
"106","X-2306.CLR457","X.2306.uned","control"
"107","X-2306.dacarbazine","X.2306.dane","treatment"
"108","X-2306.dacarbazine","X.2306.uned","control"
"109","X-2306.encorafenib","X.2306.enib","treatment"
"110","X-2306.encorafenib","X.2306.uned","control"
"111","X-2306.encorafenib + binimetinib","X.2306.enib.biib","treatment"
"112","X-2306.encorafenib + binimetinib","X.2306.uned","control"
"113","X-2306.LDE225","X.2306.LD25","treatment"
"114","X-2306.LDE225","X.2306.uned","control"
"115","X-2306.LDK378","X.2306.LD78","treatment"
"116","X-2306.LDK378","X.2306.uned","control"
"117","X-2306.LEE011","X.2306.LE11","treatment"
"118","X-2306.LEE011","X.2306.uned","control"
"119","X-2306.LEE011 + binimetinib","X.2306.LE11.biib","treatment"
"120","X-2306.LEE011 + binimetinib","X.2306.uned","control"
"121","X-2306.LEE011 + encorafenib","X.2306.LE11.enib","treatment"
"122","X-2306.LEE011 + encorafenib","X.2306.uned","control"
"123","X-2306.LGW813","X.2306.LG13","treatment"
"124","X-2306.LGW813","X.2306.uned","control"
"125","X-2306.TAS266","X.2306.TA66","treatment"
"126","X-2306.TAS266","X.2306.uned","control"
"127","X-2306.WNT974","X.2306.WN74","treatment"
"128","X-2306.WNT974","X.2306.uned","control"
"129","X-2602.binimetinib","X.2602.biib","treatment"
"130","X-2602.binimetinib","X.2602.uned","control"
"131","X-2602.BKM120","X.2602.BK20","treatment"
"132","X-2602.BKM120","X.2602.uned","control"
"133","X-2602.BKM120 + encorafenib","X.2602.BK20.enib","treatment"
"134","X-2602.BKM120 + encorafenib","X.2602.uned","control"
"135","X-2602.CGM097","X.2602.CG97","treatment"
"136","X-2602.CGM097","X.2602.uned","control"
"137","X-2602.dacarbazine","X.2602.dane","treatment"
"138","X-2602.dacarbazine","X.2602.uned","control"
"139","X-2602.encorafenib","X.2602.enib","treatment"
"140","X-2602.encorafenib","X.2602.uned","control"
"141","X-2602.encorafenib + binimetinib","X.2602.enib.biib","treatment"
"142","X-2602.encorafenib + binimetinib","X.2602.uned","control"
"143","X-2602.LDE225","X.2602.LD25","treatment"
"144","X-2602.LDE225","X.2602.uned","control"
"145","X-2602.LDK378","X.2602.LD78","treatment"
"146","X-2602.LDK378","X.2602.uned","control"
"147","X-2602.LEE011","X.2602.LE11","treatment"
"148","X-2602.LEE011","X.2602.uned","control"
"149","X-2602.LEE011 + encorafenib","X.2602.LE11.enib","treatment"
"150","X-2602.LEE011 + encorafenib","X.2602.uned","control"
"151","X-2602.LGW813","X.2602.LG13","treatment"
"152","X-2602.LGW813","X.2602.uned","control"
"153","X-2602.TAS266","X.2602.TA66","treatment"
"154","X-2602.TAS266","X.2602.uned","control"
"155","X-2602.WNT974","X.2602.WN74","treatment"
"156","X-2602.WNT974","X.2602.uned","control"
"157","X-2613.binimetinib","X.2613.biib","treatment"
"158","X-2613.binimetinib","X.2613.uned","control"
"159","X-2613.BKM120","X.2613.BK20","treatment"
"160","X-2613.BKM120","X.2613.uned","control"
"161","X-2613.BKM120 + encorafenib","X.2613.BK20.enib","treatment"
"162","X-2613.BKM120 + encorafenib","X.2613.uned","control"
"163","X-2613.CGM097","X.2613.CG97","treatment"
"164","X-2613.CGM097","X.2613.uned","control"
"165","X-2613.CLR457","X.2613.CL57","treatment"
"166","X-2613.CLR457","X.2613.uned","control"
"167","X-2613.dacarbazine","X.2613.dane","treatment"
"168","X-2613.dacarbazine","X.2613.uned","control"
"169","X-2613.encorafenib","X.2613.enib","treatment"
"170","X-2613.encorafenib","X.2613.uned","control"
"171","X-2613.encorafenib + binimetinib","X.2613.enib.biib","treatment"
"172","X-2613.encorafenib + binimetinib","X.2613.uned","control"
"173","X-2613.LDE225","X.2613.LD25","treatment"
"174","X-2613.LDE225","X.2613.uned","control"
"175","X-2613.LDK378","X.2613.LD78","treatment"
