"","batch.name","model.id","type"
"1","X-0991.abraxane","X.0991.abne","treatment"
"2","X-0991.abraxane","X.0991.uned","control"
"3","X-0991.binimetinib","X.0991.biib","treatment"
"4","X-0991.binimetinib","X.0991.uned","control"
"5","X-0991.binimetinib-3.5mpk","X.0991.bipk","treatment"
"6","X-0991.binimetinib-3.5mpk","X.0991.uned","control"
"7","X-0991.BKM120 + binimetinib","X.0991.BK20.biib","treatment"
"8","X-0991.BKM120 + binimetinib","X.0991.uned","control"
"9","X-0991.BKM120 + LDE225","X.0991.BK20.LD25","treatment"
"10","X-0991.BKM120 + LDE225","X.0991.uned","control"
"11","X-0991.BYL719","X.0991.BY19","treatment"
"12","X-0991.BYL719","X.0991.uned","control"
"13","X-0991.BYL719 + LJM716","X.0991.BY19.LJ16","treatment"
"14","X-0991.BYL719 + LJM716","X.0991.uned","control"
"15","X-0991.CLR457","X.0991.CL57","treatment"
"16","X-0991.CLR457","X.0991.uned","control"
"17","X-0991.figitumumab","X.0991.fiab","treatment"
"18","X-0991.figitumumab","X.0991.uned","control"
"19","X-0991.figitumumab + binimetinib","X.0991.fiab.biib","treatment"
"20","X-0991.figitumumab + binimetinib","X.0991.uned","control"
"21","X-0991.gemcitabine-50mpk","X.0991.gepk","treatment"
"22","X-0991.gemcitabine-50mpk","X.0991.uned","control"
"23","X-0991.HDM201","X.0991.HD01","treatment"
"24","X-0991.HDM201","X.0991.uned","control"
"25","X-0991.INC424","X.0991.IN24","treatment"
"26","X-0991.INC424","X.0991.uned","control"
"27","X-0991.INC424 + binimetinib","X.0991.IN24.biib","treatment"
"28","X-0991.INC424 + binimetinib","X.0991.uned","control"
"29","X-0991.LEE011","X.0991.LE11","treatment"
"30","X-0991.LEE011","X.0991.uned","control"
"31","X-0991.LKA136","X.0991.LK36","treatment"
"32","X-0991.LKA136","X.0991.uned","control"
"33","X-0991.trametinib","X.0991.trib","treatment"
"34","X-0991.trametinib","X.0991.uned","control"
"35","X-1199.abraxane","X.1199.abne","treatment"
"36","X-1199.abraxane","X.1199.uned","control"
"37","X-1199.binimetinib","X.1199.biib","treatment"
"38","X-1199.binimetinib","X.1199.uned","control"
"39","X-1199.binimetinib-3.5mpk","X.1199.bipk","treatment"
"40","X-1199.binimetinib-3.5mpk","X.1199.uned","control"
"41","X-1199.BKM120","X.1199.BK20","treatment"
"42","X-1199.BKM120","X.1199.uned","control"
"43","X-1199.BKM120 + binimetinib","X.1199.BK20.biib","treatment"
"44","X-1199.BKM120 + binimetinib","X.1199.uned","control"
"45","X-1199.BKM120 + LDE225","X.1199.BK20.LD25","treatment"
"46","X-1199.BKM120 + LDE225","X.1199.uned","control"
"47","X-1199.BYL719","X.1199.BY19","treatment"
"48","X-1199.BYL719","X.1199.uned","control"
"49","X-1199.BYL719 + LJM716","X.1199.BY19.LJ16","treatment"
"50","X-1199.BYL719 + LJM716","X.1199.uned","control"
"51","X-1199.CLR457","X.1199.CL57","treatment"
"52","X-1199.CLR457","X.1199.uned","control"
"53","X-1199.figitumumab","X.1199.fiab","treatment"
"54","X-1199.figitumumab","X.1199.uned","control"
"55","X-1199.figitumumab + binimetinib","X.1199.fiab.biib","treatment"
"56","X-1199.figitumumab + binimetinib","X.1199.uned","control"
"57","X-1199.gemcitabine-50mpk","X.1199.gepk","treatment"
"58","X-1199.gemcitabine-50mpk","X.1199.uned","control"
"59","X-1199.INC424","X.1199.IN24","treatment"
"60","X-1199.INC424","X.1199.uned","control"
"61","X-1199.INC424 + binimetinib","X.1199.IN24.biib","treatment"
"62","X-1199.INC424 + binimetinib","X.1199.uned","control"
"63","X-1199.LEE011","X.1199.LE11","treatment"
"64","X-1199.LEE011","X.1199.uned","control"
"65","X-1199.LKA136","X.1199.LK36","treatment"
"66","X-1199.LKA136","X.1199.uned","control"
"67","X-1199.trametinib","X.1199.trib","treatment"
"68","X-1199.trametinib","X.1199.uned","control"
"69","X-1199.WNT974","X.1199.WN74","treatment"
"70","X-1199.WNT974","X.1199.uned","control"
"71","X-1289.abraxane","X.1289.abne","treatment"
"72","X-1289.abraxane","X.1289.uned","control"
"73","X-1289.binimetinib-3.5mpk","X.1289.bipk","treatment"
"74","X-1289.binimetinib-3.5mpk","X.1289.uned","control"
"75","X-1289.BKM120","X.1289.BK20","treatment"
"76","X-1289.BKM120","X.1289.uned","control"
"77","X-1289.BYL719","X.1289.BY19","treatment"
"78","X-1289.BYL719","X.1289.uned","control"
"79","X-1289.BYL719 + LJM716","X.1289.BY19.LJ16","treatment"
"80","X-1289.BYL719 + LJM716","X.1289.uned","control"
"81","X-1289.CLR457","X.1289.CL57","treatment"
"82","X-1289.CLR457","X.1289.uned","control"
"83","X-1289.figitumumab","X.1289.fiab","treatment"
"84","X-1289.figitumumab","X.1289.uned","control"
"85","X-1289.figitumumab + binimetinib","X.1289.fiab.biib","treatment"
"86","X-1289.figitumumab + binimetinib","X.1289.uned","control"
"87","X-1289.gemcitabine-50mpk","X.1289.gepk","treatment"
"88","X-1289.gemcitabine-50mpk","X.1289.uned","control"
"89","X-1289.HDM201","X.1289.HD01","treatment"
"90","X-1289.HDM201","X.1289.uned","control"
"91","X-1289.INC424","X.1289.IN24","treatment"
"92","X-1289.INC424","X.1289.uned","control"
"93","X-1289.LEE011","X.1289.LE11","treatment"
"94","X-1289.LEE011","X.1289.uned","control"
"95","X-1289.LKA136","X.1289.LK36","treatment"
"96","X-1289.LKA136","X.1289.uned","control"
"97","X-1289.trametinib","X.1289.trib","treatment"
"98","X-1289.trametinib","X.1289.uned","control"
"99","X-1289.WNT974","X.1289.WN74","treatment"
"100","X-1289.WNT974","X.1289.uned","control"
"101","X-1317.binimetinib","X.1317.biib","treatment"
"102","X-1317.binimetinib","X.1317.uned","control"
"103","X-1317.binimetinib-3.5mpk","X.1317.bipk","treatment"
"104","X-1317.binimetinib-3.5mpk","X.1317.uned","control"
"105","X-1317.BKM120 + binimetinib","X.1317.BK20.biib","treatment"
"106","X-1317.BKM120 + binimetinib","X.1317.uned","control"
"107","X-1317.BKM120 + LDE225","X.1317.BK20.LD25","treatment"
"108","X-1317.BKM120 + LDE225","X.1317.uned","control"
"109","X-1317.figitumumab","X.1317.fiab","treatment"
"110","X-1317.figitumumab","X.1317.uned","control"
"111","X-1317.gemcitabine-50mpk","X.1317.gepk","treatment"
"112","X-1317.gemcitabine-50mpk","X.1317.uned","control"
"113","X-1317.INC424 + binimetinib","X.1317.IN24.biib","treatment"
"114","X-1317.INC424 + binimetinib","X.1317.uned","control"
"115","X-1317.LEE011","X.1317.LE11","treatment"
"116","X-1317.LEE011","X.1317.uned","control"
"117","X-1362.abraxane","X.1362.abne","treatment"
"118","X-1362.abraxane","X.1362.uned","control"
"119","X-1362.binimetinib","X.1362.biib","treatment"
"120","X-1362.binimetinib","X.1362.uned","control"
"121","X-1362.binimetinib-3.5mpk","X.1362.bipk","treatment"
"122","X-1362.binimetinib-3.5mpk","X.1362.uned","control"
"123","X-1362.BKM120","X.1362.BK20","treatment"
"124","X-1362.BKM120","X.1362.uned","control"
"125","X-1362.BKM120 + binimetinib","X.1362.BK20.biib","treatment"
"126","X-1362.BKM120 + binimetinib","X.1362.uned","control"
"127","X-1362.BKM120 + LDE225","X.1362.BK20.LD25","treatment"
"128","X-1362.BKM120 + LDE225","X.1362.uned","control"
"129","X-1362.BYL719","X.1362.BY19","treatment"
"130","X-1362.BYL719","X.1362.uned","control"
"131","X-1362.BYL719 + LJM716","X.1362.BY19.LJ16","treatment"
"132","X-1362.BYL719 + LJM716","X.1362.uned","control"
"133","X-1362.CLR457","X.1362.CL57","treatment"
"134","X-1362.CLR457","X.1362.uned","control"
"135","X-1362.figitumumab","X.1362.fiab","treatment"
"136","X-1362.figitumumab","X.1362.uned","control"
"137","X-1362.figitumumab + binimetinib","X.1362.fiab.biib","treatment"
"138","X-1362.figitumumab + binimetinib","X.1362.uned","control"
"139","X-1362.gemcitabine-50mpk","X.1362.gepk","treatment"
"140","X-1362.gemcitabine-50mpk","X.1362.uned","control"
"141","X-1362.HDM201","X.1362.HD01","treatment"
"142","X-1362.HDM201","X.1362.uned","control"
"143","X-1362.INC424","X.1362.IN24","treatment"
"144","X-1362.INC424","X.1362.uned","control"
"145","X-1362.INC424 + binimetinib","X.1362.IN24.biib","treatment"
"146","X-1362.INC424 + binimetinib","X.1362.uned","control"
"147","X-1362.LEE011","X.1362.LE11","treatment"
"148","X-1362.LEE011","X.1362.uned","control"
"149","X-1362.LKA136","X.1362.LK36","treatment"
"150","X-1362.LKA136","X.1362.uned","control"
"151","X-1362.trametinib","X.1362.trib","treatment"
"152","X-1362.trametinib","X.1362.uned","control"
"153","X-1362.WNT974","X.1362.WN74","treatment"
"154","X-1362.WNT974","X.1362.uned","control"
"155","X-1948.abraxane","X.1948.abne","treatment"
"156","X-1948.abraxane","X.1948.uned","control"
"157","X-1948.binimetinib","X.1948.biib","treatment"
"158","X-1948.binimetinib","X.1948.uned","control"
"159","X-1948.binimetinib-3.5mpk","X.1948.bipk","treatment"
"160","X-1948.binimetinib-3.5mpk","X.1948.uned","control"
"161","X-1948.BKM120","X.1948.BK20","treatment"
"162","X-1948.BKM120","X.1948.uned","control"
