"","batch.name","model.id","type"
"1","X-007.BGJ398","X.007.BG98","treatment"
"2","X-007.binimetinib","X.007.biib","treatment"
"3","X-007.BKM120","X.007.BK20","treatment"
"4","X-007.BYL719","X.007.BY19","treatment"
"5","X-007.BYL719 + HSP990","X.007.BY19.HS90","treatment"
"6","X-007.BYL719 + LJM716","X.007.BY19.LJ16","treatment"
"7","X-007.CLR457","X.007.CL57","treatment"
"8","X-007.everolimus","X.007.evus","treatment"
"9","X-007.figitumumab","X.007.fiab","treatment"
"10","X-007.HDM201","X.007.HD01","treatment"
"11","X-007.HSP990","X.007.HS90","treatment"
"12","X-007.INC280","X.007.IN80","treatment"
"13","X-007.INC280 + trastuzumab","X.007.IN80.trab","treatment"
"14","X-007.LEE011","X.007.LE11","treatment"
"15","X-007.LEE011 + everolimus","X.007.LE11.evus","treatment"
"16","X-007.LJM716","X.007.LJ16","treatment"
"17","X-007.LJM716 + trastuzumab","X.007.LJ16.trab","treatment"
"18","X-007.LLM871","X.007.LL71","treatment"
"19","X-007.trastuzumab","X.007.trab","treatment"
"20","X-010.BGJ398","X.010.BG98","treatment"
"21","X-010.BGJ398","X.010.uned","control"
"22","X-010.binimetinib","X.010.biib","treatment"
"23","X-010.binimetinib","X.010.uned","control"
"24","X-010.BKM120","X.010.BK20","treatment"
"25","X-010.BKM120","X.010.uned","control"
"26","X-010.BYL719","X.010.BY19","treatment"
"27","X-010.BYL719","X.010.uned","control"
"28","X-010.BYL719 + HSP990","X.010.BY19.HS90","treatment"
"29","X-010.BYL719 + HSP990","X.010.uned","control"
"30","X-010.BYL719 + LJM716","X.010.BY19.LJ16","treatment"
"31","X-010.BYL719 + LJM716","X.010.uned","control"
"32","X-010.CLR457","X.010.CL57","treatment"
"33","X-010.CLR457","X.010.uned","control"
"34","X-010.everolimus","X.010.evus","treatment"
"35","X-010.everolimus","X.010.uned","control"
"36","X-010.figitumumab","X.010.fiab","treatment"
"37","X-010.figitumumab","X.010.uned","control"
"38","X-010.HDM201","X.010.HD01","treatment"
