"","X-1655","X-1906","X-2163","X-2306","X-2602","X-2613","X-2700","X-2723","X-2753","X-2838","X-2921","X-2992","X-3127","X-3211","X-3483","X-3486","X-3503","X-3676","X-3746","X-3773","X-3851","X-3880","X-4157","X-4339","X-4426","X-4455","X-4530","X-4538","X-4644","X-4668","X-4832","X-4849","X-5189"
"binimetinib","SD","CR","SD","SD","SD","SD","SD","SD","PD","PD","PD","SD","SD","PR","SD","SD","PD","PD","PR","SD","SD","PR","SD","SD","PD","PD","SD","PD","SD","SD","PD","PD","PR"
"BKM120","PD","SD","SD","SD","SD","PD","PD","PD","SD","SD","PD","PD","SD","SD","SD","NA","SD","PD","SD","SD","SD","SD","SD","SD","PD","NA","PD","SD","SD","PD","NA","PD","SD"
"BKM120 + encorafenib","PD","CR","SD","PD","SD","PR","SD","PR","PD","SD","CR","PR","SD","PR","CR","PD","SD","SD","CR","SD","SD","SD","SD","SD","PD","PD","SD","PR","CR","SD","PD","SD","SD"
"CGM097","PD","PD","PD","SD","PD","PR","PD","PD","SD","SD","NA","PD","SD","SD","PR","PD","SD","NA","PD","SD","PD","PD","PD","PD","PD","PD","PD","PD","PD","PD","NA","SD","SD"
"CLR457","SD","SD","PD","SD","","PD","PD","SD","SD","SD","PD","PD","SD","SD","","","","","","SD","SD","","PD","SD","","PD","","","PD","","","PD","PD"
"dacarbazine","PD","PD","SD","SD","PD","PD","PD","PD","PD","SD","PR","PD","PR","SD","PR","PD","SD","NA","PD","SD","SD","PD","SD","SD","PD","PD","","SD","PD","PD","NA","PD","SD"
"encorafenib","PD","CR","SD","PD","SD","SD","PD","PD","PD","SD","PD","SD","SD","PR","CR","PD","PD","PD","CR","SD","PD","PD","PD","SD","PD","PD","PD","SD","PR","SD","NA","PD","PD"
"encorafenib + binimetinib","PD","CR","PD","SD","SD","CR","SD","PR","PD","PD","PD","PR","SD","CR","CR","PD","SD","SD","CR","SD","PD","SD","SD","PD","PD","PD","PR","PR","CR","SD","PD","SD","PR"
"LDE225","PD","PD","SD","SD","SD","PD","PD","PD","PD","SD","PD","PD","PD","SD","NA","PD","SD","NA","PD","PD","PD","NA","SD","SD","PD","SD","PD","SD","PD","NA","NA","NA","SD"
"LDK378","PD","PD","SD","PD","PD","PD","PD","SD","PD","SD","PD","PD","PD","SD","PD","PD","PD","NA","PD","NA","PD","PD","PD","SD","PD","PD","PD","PD","PD","PD","NA","PD","PD"
"LEE011","SD","SD","NA","SD","SD","SD","PD","PD","PD","SD","PD","PD","SD","SD","PR","SD","PD","NA","PD","SD","SD","SD","SD","SD","PD","SD","PD","PD","PD","SD","NA","PD","SD"
"LEE011 + binimetinib","SD","CR","SD","PR","","PR","SD","PR","SD","PR","PD","SD","PR","PR","","","","","","SD","SD","","","PR","","","","","","","","SD","PR"
"LEE011 + encorafenib","PD","CR","SD","SD","SD","PR","SD","PR","SD","SD","SD","PR","SD","PR","CR","PD","SD","SD","CR","SD","SD","SD","PD","SD","SD","SD","CR","PR","CR","SD","PD","SD","PD"
"LGW813","PD","PD","PD","SD","PD","PD","PD","PR","SD","SD","PD","PD","PR","SD","PD","PD","PD","NA","PD","SD","PD","SD","SD","SD","PD","PD","PD","PD","PD","PD","PD","NA","SD"
"TAS266","PD","SD","SD","SD","SD","CR","PD","PD","PD","SD","PD","PD","PR","PD","CR","PD","PD","NA","PD","SD","PD","PD","PD","SD","PR","PD","PD","PD","PD","CR","PD","PD","PR"
"untreated","PD","PD","PD","PD","PD","PD","PD","PD","PD","PD","NA","PD","PD","SD","PD","PD","PD","NA","PD","SD","PD","PD","PD","PD","PD","PD","PD","PD","PD","PD","NA","PD","PD"
"WNT974","PD","PD","PD","PD","PD","PD","SD","SD","PD","SD","PD","PD","SD","SD","PD","PD","PD","NA","PD","PD","PD","PD","PD","SD","PD","PD","PD","PD","PD","PD","PD","PD","PD"
