"time"	"volume"	"model.id"	"drug"	"batch"	"exp.type"
0	71.992674	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
7	89.685752	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
15	75.49530352	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
22	102.6504835	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
29	108.276948	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
33	118.355861	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
36	119.0280874	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
39	137.6753732	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
40	146.917719	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
43	147.5660867	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
47	153.192872	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
50	168.3543997	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
54	193.1697134	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
61	202.5681715	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
64	231.2214195	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
68	251.7678384	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
71	257.0057781	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
75	265.4120383	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
78	298.0092773	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
82	302.6602051	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
85	375.296233	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
89	360.526608	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
92	379.04503	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
96	416.7438725	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
99	448.5257754	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
103	478.8831965	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
106	552.0328382	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
110	584.245884	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
113	605.7719554	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
117	661.9901096	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
120	621.832185	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
124	643.8940149	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
127	743.6189197	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
131	767.0070694	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
134	788.2653033	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
138	872.540864	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
141	938.8027667	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
145	960.5223467	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
148	895.3348435	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
151	902.1430267	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
154	952.7194726	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
159	1131.624725	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
162	959.7943555	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
166	956.9705782	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
169	1081.219277	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
173	1069.471179	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
176	1031.726601	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
180	1123.115479	"PHLC1106_P5.501.A1"	"water"	"PHLC1106_P5"	"control"
0	88.99672496	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
7	88.73555392	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
15	95.82861964	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
22	90.73782432	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
29	121.1818982	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
33	168.5099	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
36	187.0059693	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
39	182.774124	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
40	223.6835146	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
43	251.85888	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
47	260.449488	"PHLC1106_P5.504.A4"	"water"	"PHLC1106_P5"	"control"
