"","batch.id","model.id","type"
"1","01-1104.ERIBULIN","M5.1.F160","control"
"2","01-1104.ERIBULIN","M5.1.F161","control"
"3","01-1104.ERIBULIN","M5.1.F192","control"
"4","01-1104.ERIBULIN","M5.1.F193","control"
"5","01-1104.ERIBULIN","M5.1.F244","control"
"6","01-1104.ERIBULIN","M5.1.F357","control"
"7","01-1104.ERIBULIN","M5.1.F1","treatment"
"8","01-1104.CFI-400945","M5.1.F160","control"
"9","01-1104.CFI-400945","M5.1.F161","control"
"10","01-1104.CFI-400945","M5.1.F192","control"
"11","01-1104.CFI-400945","M5.1.F193","control"
"12","01-1104.CFI-400945","M5.1.F244","control"
"13","01-1104.CFI-400945","M5.1.F357","control"
"14","01-1104.CFI-400945","M15.1.F160","treatment"
"15","01-1104.CFI-400945","M25.1.F160","treatment"
"16","01-1104.CFI-400945","M26.2.F160","treatment"
"17","01-1104.CFI-400945","M5.1.F182","treatment"
"18","01-1104.CFI-400945","M15.1.F182","treatment"
"19","01-1104.CFI-400945","M5.1.F183","treatment"
"20","01-1104.CFI-400945","M15.1.F192","treatment"
"21","01-1104.CFI-400945","M15.1.F193","treatment"
"22","01-1104.CFI-400945","M5.1.F200","treatment"
"23","01-1104.CFI-400945","M5.1.F212","treatment"
"24","01-1104.CFI-400945","M25.1.F244","treatment"
"25","01-1104.CFI-400945","M5.1.F397","treatment"
"26","01-1104.CFI-400945","M6.2.F397","treatment"
"27","01-1104.CFI-402257","M5.1.F160","control"
"28","01-1104.CFI-402257","M5.1.F161","control"
"29","01-1104.CFI-402257","M5.1.F192","control"
"30","01-1104.CFI-402257","M5.1.F193","control"
"31","01-1104.CFI-402257","M5.1.F244","control"
"32","01-1104.CFI-402257","M5.1.F357","control"
"33","01-1104.CFI-402257","M15.1.F161","treatment"
"34","01-1104.CFI-402257","M35.1.F192","treatment"
"35","01-1104.CFI-402257","M15.1.F357","treatment"
"36","01-1104.CFI-402257","M16.2.F357","treatment"
"37","01-1104.CFI-400945+ABT263","M5.1.F160","control"
"38","01-1104.CFI-400945+ABT263","M5.1.F161","control"
"39","01-1104.CFI-400945+ABT263","M5.1.F192","control"
"40","01-1104.CFI-400945+ABT263","M5.1.F193","control"
"41","01-1104.CFI-400945+ABT263","M5.1.F244","control"
"42","01-1104.CFI-400945+ABT263","M5.1.F357","control"
"43","01-1104.BMN673","M5.1.F160","control"
"44","01-1104.BMN673","M5.1.F161","control"
"45","01-1104.BMN673","M5.1.F192","control"
"46","01-1104.BMN673","M5.1.F193","control"
"47","01-1104.BMN673","M5.1.F244","control"
"48","01-1104.BMN673","M5.1.F357","control"
"49","01-1104.BMN673","M25.1.F192","treatment"
"50","01-1104.CX5461","M5.1.F160","control"
"51","01-1104.CX5461","M5.1.F161","control"
"52","01-1104.CX5461","M5.1.F192","control"
"53","01-1104.CX5461","M5.1.F193","control"
"54","01-1104.CX5461","M5.1.F244","control"
"55","01-1104.CX5461","M5.1.F357","control"
"56","01-1104.CX5461","M15.1.F244","treatment"
"57","01-1104.CX5461","M45.1.F357","treatment"
"58","01-1104.CX5461","M46.2.F357","treatment"
"59","01-1104.TAXOL","M5.1.F160","control"
"60","01-1104.TAXOL","M5.1.F161","control"
"61","01-1104.TAXOL","M5.1.F192","control"
"62","01-1104.TAXOL","M5.1.F193","control"
"63","01-1104.TAXOL","M5.1.F244","control"
"64","01-1104.TAXOL","M5.1.F357","control"
"65","01-1104.TAXOL","M35.1.F244","treatment"
"66","01-1104.TAXOL","M35.1.F357","treatment"
"67","01-1104.TAXOL","M36.2.F357","treatment"
"68","01-1104.TAXOL + CFI-402257","M5.1.F160","control"
"69","01-1104.TAXOL + CFI-402257","M5.1.F161","control"
"70","01-1104.TAXOL + CFI-402257","M5.1.F192","control"
"71","01-1104.TAXOL + CFI-402257","M5.1.F193","control"
"72","01-1104.TAXOL + CFI-402257","M5.1.F244","control"
"73","01-1104.TAXOL + CFI-402257","M5.1.F357","control"
"74","01-1104.TAXOL + CFI-402257","M25.1.F357","treatment"
"75","01-1104.TAXOL + CFI-402257","M26.2.F357","treatment"
"76","01-1104.CDX-011","M5.1.F160","control"
"77","01-1104.CDX-011","M5.1.F161","control"
"78","01-1104.CDX-011","M5.1.F192","control"
"79","01-1104.CDX-011","M5.1.F193","control"
"80","01-1104.CDX-011","M5.1.F244","control"
"81","01-1104.CDX-011","M5.1.F357","control"
"82","01-1104.CDX-011","M5.1.F433","treatment"
"83","REF016BL.CFI-400945","M5.1.F2","control"
"84","REF016BL.CFI-400945","M5.1.F24","control"
"85","REF016BL.CFI-400945","M5.1.F50","control"
"86","REF016BL.CFI-400945","M5.1.F112","control"
"87","REF016BL.CFI-400945","M5.1.F283","control"
"88","REF016BL.CFI-400945","M5.1.F367","control"
"89","REF016BL.CFI-400945","M5.1.F370","control"
"90","REF016BL.CFI-400945","M35.1.F420","control"
"91","REF016BL.CFI-400945","M5.1.F531","control"
"92","REF016BL.CFI-400945","M15.1.F2","treatment"
"93","REF016BL.CFI-400945","M16.2.F2","treatment"
"94","REF016BL.CFI-400945","M25.1.F2","treatment"
"95","REF016BL.CFI-400945","M35.1.F2","treatment"
"96","REF016BL.CFI-400945","M15.1.F24","treatment"
"97","REF016BL.CFI-400945","M5.1.F76","treatment"
"98","REF016BL.CFI-400945","M45.1.F283","treatment"
"99","REF016BL.CFI-400945","M5.1.F301","treatment"
"100","REF016BL.CFI-400945","M15.1.F370","treatment"
"101","REF016BL.CFI-400945","M25.1.F420","treatment"
"102","REF016BL.CFI-400945","M45.1.F420","treatment"
"103","REF016BL.TAXOL","M5.1.F2","control"
"104","REF016BL.TAXOL","M5.1.F24","control"
"105","REF016BL.TAXOL","M5.1.F50","control"
"106","REF016BL.TAXOL","M5.1.F112","control"
"107","REF016BL.TAXOL","M5.1.F283","control"
"108","REF016BL.TAXOL","M5.1.F367","control"
"109","REF016BL.TAXOL","M5.1.F370","control"
"110","REF016BL.TAXOL","M35.1.F420","control"
"111","REF016BL.TAXOL","M5.1.F531","control"
"112","REF016BL.TAXOL","M45.1.F2","treatment"
"113","REF016BL.TAXOL","M25.1.F283","treatment"
"114","REF016BL.TAXOL","M35.1.F370","treatment"
"115","REF016BL.TAXOL","M36.2.F370","treatment"
"116","REF016BL.TAXOL","M5.1.F420","treatment"
"117","REF016BL.BMN673","M5.1.F2","control"
"118","REF016BL.BMN673","M5.1.F24","control"
"119","REF016BL.BMN673","M5.1.F50","control"
"120","REF016BL.BMN673","M5.1.F112","control"
"121","REF016BL.BMN673","M5.1.F283","control"
"122","REF016BL.BMN673","M5.1.F367","control"
"123","REF016BL.BMN673","M5.1.F370","control"
"124","REF016BL.BMN673","M35.1.F420","control"
"125","REF016BL.BMN673","M5.1.F531","control"
"126","REF016BL.BMN673","M55.1.F2","treatment"
"127","REF016BL.BMN673","M35.1.F50","treatment"
"128","REF016BL.BMN673","M25.1.F112","treatment"
"129","REF016BL.BMN673","M35.1.F367","treatment"
"130","REF016BL.BMN673","M15.1.F377","treatment"
"131","REF016BL.ERIBULIN","M5.1.F2","control"
"132","REF016BL.ERIBULIN","M5.1.F24","control"
"133","REF016BL.ERIBULIN","M5.1.F50","control"
"134","REF016BL.ERIBULIN","M5.1.F112","control"
"135","REF016BL.ERIBULIN","M5.1.F283","control"
"136","REF016BL.ERIBULIN","M5.1.F367","control"
"137","REF016BL.ERIBULIN","M5.1.F370","control"
"138","REF016BL.ERIBULIN","M35.1.F420","control"
"139","REF016BL.ERIBULIN","M5.1.F531","control"
"140","REF016BL.ERIBULIN","M65.1.F2","treatment"
"141","REF016BL.ERIBULIN","M5.1.F394","treatment"
"142","REF016BL.ERIBULIN","M15.1.F419","treatment"
"143","REF016BL.CARBOPLATIN","M5.1.F2","control"
"144","REF016BL.CARBOPLATIN","M5.1.F24","control"
"145","REF016BL.CARBOPLATIN","M5.1.F50","control"
"146","REF016BL.CARBOPLATIN","M5.1.F112","control"
"147","REF016BL.CARBOPLATIN","M5.1.F283","control"
"148","REF016BL.CARBOPLATIN","M5.1.F367","control"
"149","REF016BL.CARBOPLATIN","M5.1.F370","control"
"150","REF016BL.CARBOPLATIN","M35.1.F420","control"
"151","REF016BL.CARBOPLATIN","M5.1.F531","control"
"152","REF016BL.CARBOPLATIN","M75.1.F2","treatment"
"153","REF016BL.CARBOPLATIN","M45.1.F50","treatment"
"154","REF016BL.CARBOPLATIN","M5.1.F377","treatment"
"155","REF016BL.CARBOPLATIN","M15.1.F394","treatment"
"156","REF016BL.CX5461","M5.1.F2","control"
"157","REF016BL.CX5461","M5.1.F24","control"
"158","REF016BL.CX5461","M5.1.F50","control"
"159","REF016BL.CX5461","M5.1.F112","control"
"160","REF016BL.CX5461","M5.1.F283","control"
"161","REF016BL.CX5461","M5.1.F367","control"
"162","REF016BL.CX5461","M5.1.F370","control"
"163","REF016BL.CX5461","M35.1.F420","control"
"164","REF016BL.CX5461","M5.1.F531","control"
"165","REF016BL.CX5461","M85.1.F2","treatment"
"166","REF016BL.CX5461","M15.1.F531","treatment"
"167","REF016BL.CFI-402257","M5.1.F2","control"
"168","REF016BL.CFI-402257","M5.1.F24","control"
"169","REF016BL.CFI-402257","M5.1.F50","control"
"170","REF016BL.CFI-402257","M5.1.F112","control"
"171","REF016BL.CFI-402257","M5.1.F283","control"
"172","REF016BL.CFI-402257","M5.1.F367","control"
"173","REF016BL.CFI-402257","M5.1.F370","control"
"174","REF016BL.CFI-402257","M35.1.F420","control"
"175","REF016BL.CFI-402257","M5.1.F531","control"
"176","REF016BL.CFI-402257","M15.2.F50","treatment"
"177","REF016BL.CFI-402257","M35.1.F283","treatment"
"178","REF016BL.CFI-402257","M15.1.F367","treatment"
"179","REF016BL.CFI-402257","M25.1.F367","treatment"
"180","REF016BL.CFI-402257","M25.1.F370","treatment"
"181","REF016BL.CFI-402257","M26.2.F370","treatment"
