"","model.id","biobase.id","mDataType"
"45","X.1027.5FFU","X-1027","RNASeq_FPKM"
"46","X.1027.biib","X-1027","RNASeq_FPKM"
"47","X.1027.BK20","X-1027","RNASeq_FPKM"
"48","X.1027.BK20.LJ49","X-1027","RNASeq_FPKM"
"49","X.1027.BY19","X-1027","RNASeq_FPKM"
"50","X.1027.BY19.biib","X-1027","RNASeq_FPKM"
"51","X.1027.BY19.ceab","X-1027","RNASeq_FPKM"
"52","X.1027.BY19.ceab.enib","X-1027","RNASeq_FPKM"
"53","X.1027.BY19.enib","X-1027","RNASeq_FPKM"
"54","X.1027.BY19.LJ16","X-1027","RNASeq_FPKM"
"55","X.1027.ceab","X-1027","RNASeq_FPKM"
"56","X.1027.ceab.enib","X-1027","RNASeq_FPKM"
"57","X.1027.CG97","X-1027","RNASeq_FPKM"
"58","X.1027.CK20","X-1027","RNASeq_FPKM"
"59","X.1027.CL57","X-1027","RNASeq_FPKM"
"60","X.1027.enib","X-1027","RNASeq_FPKM"
"61","X.1027.HD01","X-1027","RNASeq_FPKM"
"62","X.1027.LE11","X-1027","RNASeq_FPKM"
"63","X.1027.LJ49","X-1027","RNASeq_FPKM"
"64","X.1027.LK36","X-1027","RNASeq_FPKM"
"65","X.1027.uned","X-1027","RNASeq_FPKM"
"66","X.1119.5FFU","X-1119","RNASeq_FPKM"
"67","X.1119.biib","X-1119","RNASeq_FPKM"
"68","X.1119.BK20","X-1119","RNASeq_FPKM"
"69","X.1119.BK20.LJ49","X-1119","RNASeq_FPKM"
"70","X.1119.BY19","X-1119","RNASeq_FPKM"
"71","X.1119.BY19.biib","X-1119","RNASeq_FPKM"
"72","X.1119.BY19.ceab","X-1119","RNASeq_FPKM"
"73","X.1119.BY19.ceab.enib","X-1119","RNASeq_FPKM"
"74","X.1119.BY19.enib","X-1119","RNASeq_FPKM"
"75","X.1119.BY19.LJ16","X-1119","RNASeq_FPKM"
"76","X.1119.ceab","X-1119","RNASeq_FPKM"
"77","X.1119.ceab.enib","X-1119","RNASeq_FPKM"
"78","X.1119.CG97","X-1119","RNASeq_FPKM"
