"","model.id","biobase.id","mDataType"
"679","X.1655.biib","X-1655","RNASeq_FPKM"
"680","X.1655.BK20","X-1655","RNASeq_FPKM"
"681","X.1655.BK20.enib","X-1655","RNASeq_FPKM"
"682","X.1655.CG97","X-1655","RNASeq_FPKM"
"683","X.1655.CL57","X-1655","RNASeq_FPKM"
"684","X.1655.dane","X-1655","RNASeq_FPKM"
"685","X.1655.enib","X-1655","RNASeq_FPKM"
"686","X.1655.enib.biib","X-1655","RNASeq_FPKM"
"687","X.1655.LD25","X-1655","RNASeq_FPKM"
"688","X.1655.LD78","X-1655","RNASeq_FPKM"
"689","X.1655.LE11","X-1655","RNASeq_FPKM"
"690","X.1655.LE11.biib","X-1655","RNASeq_FPKM"
"691","X.1655.LE11.enib","X-1655","RNASeq_FPKM"
"692","X.1655.LG13","X-1655","RNASeq_FPKM"
"693","X.1655.TA66","X-1655","RNASeq_FPKM"
"694","X.1655.uned","X-1655","RNASeq_FPKM"
"695","X.1655.WN74","X-1655","RNASeq_FPKM"
"914","X.1906.biib","X-1906","RNASeq_FPKM"
"915","X.1906.BK20","X-1906","RNASeq_FPKM"
"916","X.1906.BK20.enib","X-1906","RNASeq_FPKM"
"917","X.1906.CG97","X-1906","RNASeq_FPKM"
"918","X.1906.CL57","X-1906","RNASeq_FPKM"
"919","X.1906.dane","X-1906","RNASeq_FPKM"
"920","X.1906.enib","X-1906","RNASeq_FPKM"
"921","X.1906.enib.biib","X-1906","RNASeq_FPKM"
"922","X.1906.LD25","X-1906","RNASeq_FPKM"
"923","X.1906.LD78","X-1906","RNASeq_FPKM"
"924","X.1906.LE11","X-1906","RNASeq_FPKM"
"925","X.1906.LE11.biib","X-1906","RNASeq_FPKM"
"926","X.1906.LE11.enib","X-1906","RNASeq_FPKM"
"927","X.1906.LG13","X-1906","RNASeq_FPKM"
"928","X.1906.TA66","X-1906","RNASeq_FPKM"
"929","X.1906.uned","X-1906","RNASeq_FPKM"
"930","X.1906.WN74","X-1906","RNASeq_FPKM"
"1250","X.2163.biib","X-2163","RNASeq_FPKM"
"1251","X.2163.BK20","X-2163","RNASeq_FPKM"
"1252","X.2163.BK20.enib","X-2163","RNASeq_FPKM"
"1253","X.2163.CG97","X-2163","RNASeq_FPKM"
"1254","X.2163.CL57","X-2163","RNASeq_FPKM"
"1255","X.2163.dane","X-2163","RNASeq_FPKM"
"1256","X.2163.enib","X-2163","RNASeq_FPKM"
"1257","X.2163.enib.biib","X-2163","RNASeq_FPKM"
"1258","X.2163.LD25","X-2163","RNASeq_FPKM"
"1259","X.2163.LD78","X-2163","RNASeq_FPKM"
"1260","X.2163.LE11","X-2163","RNASeq_FPKM"
"1261","X.2163.LE11.biib","X-2163","RNASeq_FPKM"
"1262","X.2163.LE11.enib","X-2163","RNASeq_FPKM"
"1263","X.2163.LG13","X-2163","RNASeq_FPKM"
"1264","X.2163.TA66","X-2163","RNASeq_FPKM"
"1265","X.2163.uned","X-2163","RNASeq_FPKM"
"1266","X.2163.WN74","X-2163","RNASeq_FPKM"
"1339","X.2306.biib","X-2306","RNASeq_FPKM"
"1340","X.2306.BK20","X-2306","RNASeq_FPKM"
"1341","X.2306.BK20.enib","X-2306","RNASeq_FPKM"
"1342","X.2306.CG97","X-2306","RNASeq_FPKM"
"1343","X.2306.CL57","X-2306","RNASeq_FPKM"
"1344","X.2306.dane","X-2306","RNASeq_FPKM"
"1345","X.2306.enib","X-2306","RNASeq_FPKM"
"1346","X.2306.enib.biib","X-2306","RNASeq_FPKM"
"1347","X.2306.LD25","X-2306","RNASeq_FPKM"
"1348","X.2306.LD78","X-2306","RNASeq_FPKM"
"1349","X.2306.LE11","X-2306","RNASeq_FPKM"
"1350","X.2306.LE11.biib","X-2306","RNASeq_FPKM"
"1351","X.2306.LE11.enib","X-2306","RNASeq_FPKM"
"1352","X.2306.LG13","X-2306","RNASeq_FPKM"
"1353","X.2306.TA66","X-2306","RNASeq_FPKM"
"1354","X.2306.uned","X-2306","RNASeq_FPKM"
"1355","X.2306.WN74","X-2306","RNASeq_FPKM"
"1644","X.2602.biib","X-2602","RNASeq_FPKM"
"1645","X.2602.BK20","X-2602","RNASeq_FPKM"
"1646","X.2602.BK20.enib","X-2602","RNASeq_FPKM"
"1647","X.2602.CG97","X-2602","RNASeq_FPKM"
"1648","X.2602.dane","X-2602","RNASeq_FPKM"
"1649","X.2602.enib","X-2602","RNASeq_FPKM"
