"","batch.name","model.id","type"
"1","X-1156.BGJ398","X.1156.BG98","treatment"
"2","X-1156.BGJ398","X.1156.uned","control"
"3","X-1156.binimetinib","X.1156.biib","treatment"
"4","X-1156.binimetinib","X.1156.uned","control"
"5","X-1156.BKM120","X.1156.BK20","treatment"
"6","X-1156.BKM120","X.1156.uned","control"
"7","X-1156.BKM120 + binimetinib","X.1156.BK20.biib","treatment"
"8","X-1156.BKM120 + binimetinib","X.1156.uned","control"
"9","X-1156.BYL719","X.1156.BY19","treatment"
"10","X-1156.BYL719","X.1156.uned","control"
"11","X-1156.BYL719 + LGH447","X.1156.BY19.LG47","treatment"
"12","X-1156.BYL719 + LGH447","X.1156.uned","control"
"13","X-1156.BYL719 + LJM716","X.1156.BY19.LJ16","treatment"
"14","X-1156.BYL719 + LJM716","X.1156.uned","control"
"15","X-1156.cetuximab","X.1156.ceab","treatment"
"16","X-1156.cetuximab","X.1156.uned","control"
"17","X-1156.CGM097","X.1156.CG97","treatment"
"18","X-1156.CGM097","X.1156.uned","control"
"19","X-1156.CKX620","X.1156.CK20","treatment"
"20","X-1156.CKX620","X.1156.uned","control"
"21","X-1156.CLR457","X.1156.CL57","treatment"
"22","X-1156.CLR457","X.1156.uned","control"
"23","X-1156.erlotinib","X.1156.erib","treatment"
"24","X-1156.erlotinib","X.1156.uned","control"
"25","X-1156.HDM201","X.1156.HD01","treatment"
"26","X-1156.HDM201","X.1156.uned","control"
"27","X-1156.HSP990","X.1156.HS90","treatment"
"28","X-1156.HSP990","X.1156.uned","control"
"29","X-1156.INC280","X.1156.IN80","treatment"
"30","X-1156.INC280","X.1156.uned","control"
"31","X-1156.LCL161 + paclitaxel","X.1156.LC61.pael","treatment"
"32","X-1156.LCL161 + paclitaxel","X.1156.uned","control"
"33","X-1156.LEE011","X.1156.LE11","treatment"
"34","X-1156.LEE011","X.1156.uned","control"
"35","X-1156.LFW527 + binimetinib","X.1156.LF27.biib","treatment"
"36","X-1156.LFW527 + binimetinib","X.1156.uned","control"
"37","X-1156.LGH447","X.1156.LG47","treatment"
"38","X-1156.LGH447","X.1156.uned","control"
"39","X-1156.LLM871","X.1156.LL71","treatment"
"40","X-1156.LLM871","X.1156.uned","control"
"41","X-1156.paclitaxel","X.1156.pael","treatment"
"42","X-1156.paclitaxel","X.1156.uned","control"
