"","X-007","X-010","X-011","X-015","X-017","X-020","X-023","X-024","X-025","X-027","X-028","X-029","X-031","X-034","X-035","X-037","X-038","X-039","X-050","X-056","X-057","X-064","X-065","X-067","X-074","X-075","X-077","X-078","X-084","X-089","X-090","X-091","X-096","X-097","X-098","X-099","X-101","X-102","X-105","X-114","X-118","X-119","X-127","X-128","X-129","X-131","X-135","X-136","X-137","X-138","X-141","X-142","X-144","X-146","X-154","X-158","X-160","X-161","X-162","X-165","X-166","X-169","X-171","X-177"
"BGJ398","NA","SD","PD","PD","SD","PD","","","SD","","PD","NA","PD","PD","PD","SD","SD","","","PD","PD","PD","PD","SD","","SD","SD","","SD","PD","SD","SD","PD","PD","SD","SD","","SD","","","PD","CR","CR","PD","SD","NA","","","","PD","","","","","PD","SD","SD","PR","","PD","PD","","PD",""
"binimetinib","PD","PD","PD","PR","SD","PD","","","SD","","PD","SD","PD","SD","PD","PD","PD","","","PR","PD","NA","PD","SD","","SD","SD","","PD","PD","CR","PD","PD","PD","PD","SD","","","","SD","PD","SD","CR","PR","SD","PD","","","","SD","","","","","PD","SD","SD","SD","","SD","SD","","NA",""
"BKM120","PD","SD","PD","PD","PD","PD","","","SD","PD","SD","PD","SD","SD","SD","PD","SD","","","SD","SD","SD","SD","SD","","PD","SD","","SD","SD","SD","SD","","SD","SD","","","PR","","SD","PD","PD","PR","CR","NA","PD","","","","SD","","","","","SD","SD","SD","PD","","PR","SD","","PD",""
"BYL719","NA","SD","PD","SD","SD","SD","SD","SD","SD","PR","PD","PD","SD","SD","PR","SD","PD","PD","PD","SD","PD","SD","SD","SD","PD","PD","SD","PD","SD","PD","PR","SD","PR","SD","SD","","PD","SD","SD","PR","PD","SD","SD","PR","PR","PD","SD","PR","SD","SD","SD","PD","","SD","PD","SD","SD","SD","SD","SD","SD","NA","PD",""
"BYL719 + HSP990","SD","SD","SD","PD","SD","SD","SD","PR","SD","PR","PD","NA","PD","SD","PD","PD","PR","PD","SD","SD","SD","SD","SD","PD","SD","SD","PD","SD","PD","SD","CR","SD","SD","PR","NA","PR","SD","SD","SD","SD","PD","SD","SD","SD","NA","SD","SD","PR","CR","PR","PR","SD","PD","PR","SD","PD","SD","SD","SD","SD","SD","SD","NA","PD"
"BYL719 + LJM716","PD","PD","SD","CR","SD","PR","NA","SD","SD","","SD","PD","","SD","PR","","PD","PD","PR","SD","SD","SD","PR","PD","SD","SD","PD","SD","SD","","SD","SD","PD","SD","PD","SD","PD","SD","PD","SD","PD","PD","SD","PR","PR","PD","PD","PR","CR","NA","PD","PD","SD","PR","SD","","SD","PD","PD","SD","PR","PR","PD","PD"
"CLR457","SD","SD","SD","SD","SD","SD","","","SD","SD","SD","NA","SD","PD","","PD","PD","","","SD","SD","SD","SD","SD","","PD","PD","","SD","","SD","SD","PD","SD","PD","PD","","SD","","SD","PD","PD","SD","PD","PR","SD","","","","SD","","","","","SD","SD","SD","PD","","","SD","","NA",""
"everolimus","PD","PD","PD","PD","SD","PD","PR","SD","SD","","SD","PD","SD","SD","PR","PD","SD","SD","SD","SD","SD","SD","SD","SD","PD","SD","SD","PD","SD","SD","SD","SD","SD","SD","PD","","PD","","PD","SD","SD","SD","SD","SD","SD","PD","SD","SD","PD","SD","SD","SD","PD","","SD","SD","SD","SD","SD","SD","SD","PR","PD","PD"
"figitumumab","NA","SD","PD","SD","PD","PD","","","SD","PD","PD","NA","PD","SD","PD","PD","PD","","","PD","PD","PD","PD","SD","","SD","PD","","PD","PD","SD","SD","PD","PD","PD","SD","","","","","PD","PD","SD","PD","PD","NA","","","","PD","","","","","PD","PD","PD","SD","","","PD","","NA",""
"HDM201","NA","PD","PD","NA","PD","SD","","","SD","SD","SD","PD","PD","PD","PD","PD","PD","","","PD","PD","SD","NA","SD","","PD","PD","","PD","SD","SD","SD","PD","PD","PD","SD","","","","SD","PD","SD","CR","SD","SD","PD","","","","PD","","","","","PD","PD","SD","PD","","SD","PD","","PD",""
"HSP990","SD","PD","PD","PD","PD","SD","PD","PD","SD","","SD","NA","PD","SD","SD","PD","SD","PD","PD","PD","PD","PD","SD","SD","PD","SD","PD","PD","PD","PD","PR","SD","PD","PD","SD","SD","PD","SD","SD","SD","PD","SD","PR","PR","PD","PD","SD","SD","PD","PD","PD","PD","PD","SD","PD","PD","SD","PD","PD","PD","PD","SD","NA","PD"
"INC280","NA","PD","PD","PD","SD","PD","","","PD","","PD","NA","PD","PD","","PD","SD","","","SD","PD","SD","PD","SD","","PD","PD","","PD","","SD","PD","PD","PD","PD","PD","","PD","","PD","PD","PD","PD","PD","PD","NA","","","","PD","","","","","CR","PD","SD","SD","","SD","PD","","CR",""
"INC280 + trastuzumab","PD","SD","PD","PD","PD","PD","","","SD","","PD","NA","NA","SD","CR","PD","PD","","","PD","PD","PR","PD","PD","","PD","SD","","PD","","CR","SD","SD","PD","PD","PR","","SD","","SD","PD","PD","PD","PD","PD","PD","","","","SD","","","","","CR","SD","SD","PD","","NA","SD","","",""
"LEE011","NA","SD","PD","PD","SD","PD","SD","SD","SD","SD","SD","PD","SD","SD","PR","SD","PD","PD","NA","PR","PD","SD","PD","PD","PD","SD","PD","PD","PD","PR","PD","SD","SD","SD","PD","SD","NA","SD","PD","SD","PD","PD","SD","PD","SD","NA","PD","PD","PD","PD","SD","SD","PD","PR","SD","SD","SD","PD","SD","","SD","","PD","PD"
"LEE011 + everolimus","PD","SD","PD","SD","","SD","SD","SD","SD","","PD","","PD","SD","PR","SD","SD","PD","SD","SD","SD","SD","SD","SD","SD","SD","SD","PD","SD","SD","SD","PD","SD","SD","PR","SD","SD","","SD","SD","PD","SD","PD","PR","PR","SD","SD","SD","SD","PR","SD","","PD","SD","PR","PR","SD","SD","PD","SD","SD","PR","PD","PD"
"LJM716","NA","PD","PD","PD","PD","PD","PD","SD","SD","PR","PD","","SD","SD","SD","PD","PD","PD","SD","PD","SD","PD","SD","NA","PD","PD","SD","PD","SD","SD","SD","SD","SD","PD","PD","PD","PD","SD","SD","NA","PD","SD","PD","PD","PD","PD","SD","SD","SD","PD","SD","SD","PD","PR","PD","SD","SD","PD","","SD","SD","PR","PD","PD"
"LJM716 + trastuzumab","NA","PD","PD","SD","PD","NA","","","SD","","SD","PD","PD","PD","SD","PD","PD","","","PD","PD","PD","CR","PD","","SD","PD","","PD","PD","PR","SD","PD","PD","SD","PR","","PR","","PR","SD","PD","PD","SD","PD","PD","","","","PD","","","","","PD","SD","SD","SD","","SD","PD","","PD",""
"LLM871","NA","PR","PD","PD","SD","PD","","","","PD","PD","NA","PD","SD","PD","PD","PD","","","PD","CR","SD","SD","SD","","PD","","","PD","PD","PD","PD","PR","PD","SD","SD","","SD","","SD","PD","CR","CR","PD","PD","NA","","","","SD","","","","","","PD","SD","CR","","","PD","","NA",""
"trastuzumab","PD","PD","PD","SD","PD","SD","","","PD","PR","SD","PD","PD","SD","PD","PD","SD","","","SD","PD","PD","SD","SD","","SD","SD","","PD","PD","SD","PD","PR","PD","PD","SD","","","","","PD","PD","SD","PD","PD","PD","","","","PD","","","","","PD","SD","","PD","","","PD","","PD",""
"untreated","","SD","","PD","SD","PD","SD","PD","PD","","","","SD","","","PD","PD","PD","PD","PD","","","PD","","SD","","PD","PD","","","","SD","PD","","PD","","PD","","PD","PD","","","","","PD","","PD","SD","PD","","SD","PD","NA","PD","PD","PD","","PD","PD","","PD","SD","PD","PD"
