"model.id","tissue","tissue.name","patient.id","drug","tested"
"X.007.BG98","X.007.BG98","GC","Gastric Cancer","X-007","BGJ398","TRUE"
"X.007.biib","X.007.biib","GC","Gastric Cancer","X-007","binimetinib","TRUE"
"X.007.BK20","X.007.BK20","GC","Gastric Cancer","X-007","BKM120","TRUE"
"X.007.BY19","X.007.BY19","GC","Gastric Cancer","X-007","BYL719","TRUE"
"X.007.BY19.HS90","X.007.BY19.HS90","GC","Gastric Cancer","X-007","BYL719 + HSP990","TRUE"
"X.007.BY19.LJ16","X.007.BY19.LJ16","GC","Gastric Cancer","X-007","BYL719 + LJM716","TRUE"
"X.007.CL57","X.007.CL57","GC","Gastric Cancer","X-007","CLR457","TRUE"
"X.007.evus","X.007.evus","GC","Gastric Cancer","X-007","everolimus","TRUE"
"X.007.fiab","X.007.fiab","GC","Gastric Cancer","X-007","figitumumab","TRUE"
"X.007.HD01","X.007.HD01","GC","Gastric Cancer","X-007","HDM201","TRUE"
"X.007.HS90","X.007.HS90","GC","Gastric Cancer","X-007","HSP990","TRUE"
"X.007.IN80","X.007.IN80","GC","Gastric Cancer","X-007","INC280","TRUE"
"X.007.IN80.trab","X.007.IN80.trab","GC","Gastric Cancer","X-007","INC280 + trastuzumab","TRUE"
"X.007.LE11","X.007.LE11","GC","Gastric Cancer","X-007","LEE011","TRUE"
"X.007.LE11.evus","X.007.LE11.evus","GC","Gastric Cancer","X-007","LEE011 + everolimus","TRUE"
"X.007.LJ16","X.007.LJ16","GC","Gastric Cancer","X-007","LJM716","TRUE"
"X.007.LJ16.trab","X.007.LJ16.trab","GC","Gastric Cancer","X-007","LJM716 + trastuzumab","TRUE"
"X.007.LL71","X.007.LL71","GC","Gastric Cancer","X-007","LLM871","TRUE"
"X.007.trab","X.007.trab","GC","Gastric Cancer","X-007","trastuzumab","TRUE"
"X.010.BG98","X.010.BG98","GC","Gastric Cancer","X-010","BGJ398","TRUE"
"X.010.biib","X.010.biib","GC","Gastric Cancer","X-010","binimetinib","TRUE"
"X.010.BK20","X.010.BK20","GC","Gastric Cancer","X-010","BKM120","TRUE"
"X.010.BY19","X.010.BY19","GC","Gastric Cancer","X-010","BYL719","TRUE"
"X.010.BY19.HS90","X.010.BY19.HS90","GC","Gastric Cancer","X-010","BYL719 + HSP990","TRUE"
"X.010.BY19.LJ16","X.010.BY19.LJ16","GC","Gastric Cancer","X-010","BYL719 + LJM716","TRUE"
"X.010.CL57","X.010.CL57","GC","Gastric Cancer","X-010","CLR457","TRUE"
"X.010.evus","X.010.evus","GC","Gastric Cancer","X-010","everolimus","TRUE"
"X.010.fiab","X.010.fiab","GC","Gastric Cancer","X-010","figitumumab","TRUE"
"X.010.HD01","X.010.HD01","GC","Gastric Cancer","X-010","HDM201","TRUE"
"X.010.HS90","X.010.HS90","GC","Gastric Cancer","X-010","HSP990","TRUE"
"X.010.IN80","X.010.IN80","GC","Gastric Cancer","X-010","INC280","TRUE"
"X.010.IN80.trab","X.010.IN80.trab","GC","Gastric Cancer","X-010","INC280 + trastuzumab","TRUE"
"X.010.LE11","X.010.LE11","GC","Gastric Cancer","X-010","LEE011","TRUE"
"X.010.LE11.evus","X.010.LE11.evus","GC","Gastric Cancer","X-010","LEE011 + everolimus","TRUE"
"X.010.LJ16","X.010.LJ16","GC","Gastric Cancer","X-010","LJM716","TRUE"
"X.010.LJ16.trab","X.010.LJ16.trab","GC","Gastric Cancer","X-010","LJM716 + trastuzumab","TRUE"
"X.010.LL71","X.010.LL71","GC","Gastric Cancer","X-010","LLM871","TRUE"
"X.010.trab","X.010.trab","GC","Gastric Cancer","X-010","trastuzumab","TRUE"
"X.010.uned","X.010.uned","GC","Gastric Cancer","X-010","untreated","TRUE"
"X.011.BG98","X.011.BG98","GC","Gastric Cancer","X-011","BGJ398","TRUE"
"X.011.biib","X.011.biib","GC","Gastric Cancer","X-011","binimetinib","TRUE"
"X.011.BK20","X.011.BK20","GC","Gastric Cancer","X-011","BKM120","TRUE"
"X.011.BY19","X.011.BY19","GC","Gastric Cancer","X-011","BYL719","TRUE"
"X.011.BY19.HS90","X.011.BY19.HS90","GC","Gastric Cancer","X-011","BYL719 + HSP990","TRUE"
"X.011.BY19.LJ16","X.011.BY19.LJ16","GC","Gastric Cancer","X-011","BYL719 + LJM716","TRUE"
"X.011.CL57","X.011.CL57","GC","Gastric Cancer","X-011","CLR457","TRUE"
"X.011.evus","X.011.evus","GC","Gastric Cancer","X-011","everolimus","TRUE"
"X.011.fiab","X.011.fiab","GC","Gastric Cancer","X-011","figitumumab","TRUE"
"X.011.HD01","X.011.HD01","GC","Gastric Cancer","X-011","HDM201","TRUE"
"X.011.HS90","X.011.HS90","GC","Gastric Cancer","X-011","HSP990","TRUE"
"X.011.IN80","X.011.IN80","GC","Gastric Cancer","X-011","INC280","TRUE"
"X.011.IN80.trab","X.011.IN80.trab","GC","Gastric Cancer","X-011","INC280 + trastuzumab","TRUE"
"X.011.LE11","X.011.LE11","GC","Gastric Cancer","X-011","LEE011","TRUE"
"X.011.LE11.evus","X.011.LE11.evus","GC","Gastric Cancer","X-011","LEE011 + everolimus","TRUE"
"X.011.LJ16","X.011.LJ16","GC","Gastric Cancer","X-011","LJM716","TRUE"
"X.011.LJ16.trab","X.011.LJ16.trab","GC","Gastric Cancer","X-011","LJM716 + trastuzumab","TRUE"
"X.011.LL71","X.011.LL71","GC","Gastric Cancer","X-011","LLM871","TRUE"
"X.011.trab","X.011.trab","GC","Gastric Cancer","X-011","trastuzumab","TRUE"
"X.015.BG98","X.015.BG98","GC","Gastric Cancer","X-015","BGJ398","TRUE"
"X.015.biib","X.015.biib","GC","Gastric Cancer","X-015","binimetinib","TRUE"
"X.015.BK20","X.015.BK20","GC","Gastric Cancer","X-015","BKM120","TRUE"
"X.015.BY19","X.015.BY19","GC","Gastric Cancer","X-015","BYL719","TRUE"
"X.015.BY19.HS90","X.015.BY19.HS90","GC","Gastric Cancer","X-015","BYL719 + HSP990","TRUE"
"X.015.BY19.LJ16","X.015.BY19.LJ16","GC","Gastric Cancer","X-015","BYL719 + LJM716","TRUE"
"X.015.CL57","X.015.CL57","GC","Gastric Cancer","X-015","CLR457","TRUE"
"X.015.evus","X.015.evus","GC","Gastric Cancer","X-015","everolimus","TRUE"
"X.015.fiab","X.015.fiab","GC","Gastric Cancer","X-015","figitumumab","TRUE"
"X.015.HD01","X.015.HD01","GC","Gastric Cancer","X-015","HDM201","TRUE"
"X.015.HS90","X.015.HS90","GC","Gastric Cancer","X-015","HSP990","TRUE"
"X.015.IN80","X.015.IN80","GC","Gastric Cancer","X-015","INC280","TRUE"
"X.015.IN80.trab","X.015.IN80.trab","GC","Gastric Cancer","X-015","INC280 + trastuzumab","TRUE"
"X.015.LE11","X.015.LE11","GC","Gastric Cancer","X-015","LEE011","TRUE"
"X.015.LE11.evus","X.015.LE11.evus","GC","Gastric Cancer","X-015","LEE011 + everolimus","TRUE"
"X.015.LJ16","X.015.LJ16","GC","Gastric Cancer","X-015","LJM716","TRUE"
"X.015.LJ16.trab","X.015.LJ16.trab","GC","Gastric Cancer","X-015","LJM716 + trastuzumab","TRUE"
"X.015.LL71","X.015.LL71","GC","Gastric Cancer","X-015","LLM871","TRUE"
"X.015.trab","X.015.trab","GC","Gastric Cancer","X-015","trastuzumab","TRUE"
"X.015.uned","X.015.uned","GC","Gastric Cancer","X-015","untreated","TRUE"
"X.017.BG98","X.017.BG98","GC","Gastric Cancer","X-017","BGJ398","TRUE"
"X.017.biib","X.017.biib","GC","Gastric Cancer","X-017","binimetinib","TRUE"
"X.017.BK20","X.017.BK20","GC","Gastric Cancer","X-017","BKM120","TRUE"
"X.017.BY19","X.017.BY19","GC","Gastric Cancer","X-017","BYL719","TRUE"
"X.017.BY19.HS90","X.017.BY19.HS90","GC","Gastric Cancer","X-017","BYL719 + HSP990","TRUE"
"X.017.BY19.LJ16","X.017.BY19.LJ16","GC","Gastric Cancer","X-017","BYL719 + LJM716","TRUE"
"X.017.CL57","X.017.CL57","GC","Gastric Cancer","X-017","CLR457","TRUE"
"X.017.evus","X.017.evus","GC","Gastric Cancer","X-017","everolimus","TRUE"
"X.017.fiab","X.017.fiab","GC","Gastric Cancer","X-017","figitumumab","TRUE"
"X.017.HD01","X.017.HD01","GC","Gastric Cancer","X-017","HDM201","TRUE"
"X.017.HS90","X.017.HS90","GC","Gastric Cancer","X-017","HSP990","TRUE"
"X.017.IN80","X.017.IN80","GC","Gastric Cancer","X-017","INC280","TRUE"
"X.017.IN80.trab","X.017.IN80.trab","GC","Gastric Cancer","X-017","INC280 + trastuzumab","TRUE"
"X.017.LE11","X.017.LE11","GC","Gastric Cancer","X-017","LEE011","TRUE"
"X.017.LJ16","X.017.LJ16","GC","Gastric Cancer","X-017","LJM716","TRUE"
"X.017.LJ16.trab","X.017.LJ16.trab","GC","Gastric Cancer","X-017","LJM716 + trastuzumab","TRUE"
"X.017.LL71","X.017.LL71","GC","Gastric Cancer","X-017","LLM871","TRUE"
"X.017.trab","X.017.trab","GC","Gastric Cancer","X-017","trastuzumab","TRUE"
"X.017.uned","X.017.uned","GC","Gastric Cancer","X-017","untreated","TRUE"
"X.020.BG98","X.020.BG98","GC","Gastric Cancer","X-020","BGJ398","TRUE"
"X.020.biib","X.020.biib","GC","Gastric Cancer","X-020","binimetinib","TRUE"
"X.020.BK20","X.020.BK20","GC","Gastric Cancer","X-020","BKM120","TRUE"
"X.020.BY19","X.020.BY19","GC","Gastric Cancer","X-020","BYL719","TRUE"
"X.020.BY19.HS90","X.020.BY19.HS90","GC","Gastric Cancer","X-020","BYL719 + HSP990","TRUE"
"X.020.BY19.LJ16","X.020.BY19.LJ16","GC","Gastric Cancer","X-020","BYL719 + LJM716","TRUE"
"X.020.CL57","X.020.CL57","GC","Gastric Cancer","X-020","CLR457","TRUE"
"X.020.evus","X.020.evus","GC","Gastric Cancer","X-020","everolimus","TRUE"
