drug_id,drug_name,standard_name,targets,treatment_type,pubchemId,class,class_name,source
1,binimetinib,,,,,(MEK 1/2) inhibitor,Kinase inhibitors,
2,BKM120,,,,,pan-class I (PI3K) inhibitor,Kinase inhibitors,
3,BKM120 + encorafenib,,,,,combination,combination,
4,CGM097,,,,,MDM2 Inhibitor,MDM2 Inhibitor,
5,CLR457,,,,,pan-PI3K inhibitor,Kinase inhibitors,
6,dacarbazine,,,,,Alkylating Drug,Chemotherapeutic agents,
7,encorafenib,,,,,Raf kinase inhibitor,Kinase inhibitors,
8,encorafenib + binimetinib,,,,,combination,combination,
9,LDE225,,,,,Smo antagonist,Smo antagonist,
10,LDK378,,,,,tyrosine kinase receptor inhibitor (TKI),Kinase inhibitors,
11,LEE011,,,,,cyclin-dependent kinase (CDK) inhibitor,Kinase inhibitors,
12,LEE011 + binimetinib,,,,,combination,combination,
13,LEE011 + encorafenib,,,,,combination,combination,
14,LGW813,,,,,Inhibitor Of Apoptosis inhibitors,Inhibitor Of Apoptosis inhibitors,
15,TAS266,,,,,DR5 receptor agonist,Growth factor receptor inhibitors,
16,untreated,,,,,single/unknown,single/unknown,
17,WNT974,,,,,porcupine (PORCN) inhibitor,Wnt signaling inhibitors,
18,BGJ398,,,,,pan FGFR inhibitor,Growth factor receptor inhibitors,
19,BKM120 + binimetinib,,,,,combination,combination,
20,BYL719,,,,,(PI3K) inhibitor,Kinase inhibitors,
21,BYL719 + LGH447,,,,,combination,combination,
22,BYL719 + LJM716,,,,,combination,combination,
23,cetuximab,,,,,EGFR inihibitor,Growth factor receptor inhibitors,
24,CKX620,,,,,MAPK - kinase inhibitor,Kinase inhibitors,
25,erlotinib,,,,,EGFR inhibitor,Growth factor receptor inhibitors,
26,HDM201,,,,,MDM2 inhibitor,MDM2 inhibitor,
27,HSP990,,,,,HSP90 inhibitor,HSP90 inhibitor,
28,INC280,,,,,c-Met (HGFR) inhibitor,Growth factor receptor inhibitors,
29,LCL161 + paclitaxel,,,,,combination,combination,
30,LFW527 + binimetinib,,,,,combination,combination,
31,LGH447,,,,,pan-PIM protein kinase inhibitor,Kinase inhibitors,
32,LLM871,,,,,FGFR2/4 antibody-drug conjugate,Growth factor receptor inhibitors,
33,paclitaxel,,,,,Microtubule Inhibitor,Chemotherapeutic agents,
34,5FU,,,,,Nucleoside Metabolic Inhibitor,Chemotherapy,
35,BKM120 + LJC049,,,,,combination,combination,
36,BYL719 + binimetinib,,,,,combination,combination,
37,BYL719 + cetuximab,,,,,combination,combination,
38,BYL719 + cetuximab + encorafenib,,,,,combination,combination,
39,BYL719 + encorafenib,,,,,combination,combination,
40,cetuximab + encorafenib,,,,,combination,combination,
41,LJC049,,,,,Wnt signaling,Wnt signaling inhibitors,
42,LKA136,,,,,Neurotrophic Receptor Tyrosine Kinase inhibitor,Kinase inhibitors,
43,abraxane,,,,,Microtubule Inhibitor,Chemotherapeutic agents,
44,binimetinib-3.5mpk,,,,,combination,combination,
45,BKM120 + LDE225,,,,,combination,combination,
46,figitumumab,,,,,IGF-1R monoclonal antibody,Growth factor receptor inhibitors,
47,figitumumab + binimetinib,,,,,combination,combination,
48,gemcitabine-50mpk,,,,,combination,combination,
49,INC424,,,,,JAK inhibitor,Kinase inhibitors,
50,INC424 + binimetinib,,,,,combination,combination,
51,trametinib,,,,,(MEK 1/2) inhibitor,Kinase inhibitors,
52,BYL719 + LEE011,,,,,combination,combination,
53,LEE011 + everolimus,,,,,combination,combination,
54,LFA102,,,,,prolactin receptor (PRLR),Growth factor receptor inhibitors,
55,LFW527 + everolimus,,,,,combination,combination,
56,LJM716,,,,,anti-ERBB3 (HER3) investigational monoclonal antibody,Growth factor receptor inhibitors,
57,LJM716 + trastuzumab,,,,,combination,combination,
58,tamoxifen,,,,,selective estrogen receptor modulator (SERM),Growth factor receptor inhibitors,
59,trastuzumab,,,,,ERBB2 inihibitor,Growth factor receptor inhibitors,
60,BYL719 + HSP990,,,,,combination,combination,
61,everolimus,,,,,mTOR inhibitor,Kinase inhibitors,
62,INC280 + trastuzumab,,,,,combination,combination,
