id,drug_id,model_id,response_type,value
1,18,34,,PR
2,18,35,,SD
3,18,36,,PD
4,18,37,,SD
5,18,38,,
6,18,39,,PD
7,18,40,,SD
8,18,41,,PD
9,18,42,,PD
10,18,43,,PD
11,18,44,,NA
12,18,45,,SD
13,18,46,,PD
14,18,47,,PD
15,18,48,,PD
16,18,49,,
17,18,50,,PD
18,18,51,,PD
19,18,52,,PD
20,18,53,,SD
21,18,54,,PD
22,18,55,,SD
23,18,56,,PD
24,18,57,,SD
25,18,58,,PD
26,18,59,,PD
27,18,60,,PD
28,18,61,,SD
29,18,62,,
30,18,63,,PD
31,18,64,,SD
32,18,65,,PD
33,18,66,,SD
34,18,67,,PD
35,18,68,,PD
36,18,69,,SD
37,18,70,,PD
38,18,71,,PR
39,18,72,,PD
40,18,73,,PD
41,18,74,,
42,18,75,,PD
43,18,76,,SD
44,1,34,,PD
45,1,35,,SD
46,1,36,,SD
47,1,37,,PD
48,1,38,,
49,1,39,,SD
50,1,40,,PD
51,1,41,,SD
52,1,42,,SD
53,1,43,,PD
54,1,44,,PD
55,1,45,,PR
56,1,46,,PD
57,1,47,,PD
58,1,48,,SD
59,1,49,,
60,1,50,,SD
61,1,51,,PD
62,1,52,,SD
63,1,53,,PD
64,1,54,,PD
65,1,55,,SD
66,1,56,,SD
67,1,57,,PD
68,1,58,,PD
69,1,59,,PD
70,1,60,,PD
71,1,61,,SD
72,1,62,,
73,1,63,,SD
74,1,64,,SD
75,1,65,,SD
76,1,66,,PR
77,1,67,,SD
78,1,68,,SD
79,1,69,,SD
80,1,70,,PD
81,1,71,,SD
82,1,72,,PR
83,1,73,,SD
84,1,74,,
85,1,75,,SD
86,1,76,,PD
87,2,34,,SD
88,2,35,,SD
89,2,36,,SD
90,2,37,,PR
91,2,38,,
92,2,39,,SD
93,2,40,,SD
94,2,41,,SD
95,2,42,,SD
96,2,43,,SD
97,2,44,,SD
98,2,45,,SD
99,2,46,,PD
100,2,47,,PD
101,2,48,,SD
102,2,49,,
103,2,50,,PD
104,2,51,,SD
105,2,52,,SD
106,2,53,,PD
107,2,54,,PD
108,2,55,,SD
109,2,56,,SD
110,2,57,,PR
111,2,58,,SD
112,2,59,,PD
113,2,60,,SD
114,2,61,,PR
115,2,62,,
116,2,63,,SD
117,2,64,,SD
118,2,65,,SD
119,2,66,,SD
120,2,67,,CR
121,2,68,,SD
122,2,69,,PD
123,2,70,,SD
124,2,71,,SD
125,2,72,,PR
126,2,73,,SD
127,2,74,,
128,2,75,,SD
129,2,76,,PD
130,20,34,,SD
131,20,35,,SD
132,20,36,,SD
133,20,37,,PD
134,20,38,,
135,20,39,,PD
136,20,40,,SD
137,20,41,,PD
138,20,42,,SD
139,20,43,,PD
140,20,44,,SD
141,20,45,,PD
142,20,46,,PD
143,20,47,,PD
144,20,48,,SD
145,20,49,,
146,20,50,,PD
147,20,51,,PD
148,20,52,,SD
149,20,53,,SD
150,20,54,,PD
151,20,55,,SD
152,20,56,,SD
153,20,57,,PR
154,20,58,,SD
155,20,59,,PD
156,20,60,,PD
157,20,61,,SD
158,20,62,,
159,20,63,,SD
160,20,64,,SD
161,20,65,,SD
162,20,66,,SD
163,20,67,,CR
164,20,68,,SD
165,20,69,,SD
166,20,70,,SD
167,20,71,,PD
168,20,72,,SD
169,20,73,,SD
170,20,74,,
171,20,75,,SD
172,20,76,,PD
173,52,34,,PD
174,52,35,,SD
175,52,36,,SD
176,52,37,,PD
177,52,38,,
178,52,39,,SD
179,52,40,,SD
180,52,41,,SD
181,52,42,,SD
182,52,43,,SD
183,52,44,,SD
184,52,45,,SD
185,52,46,,PD
186,52,47,,PD
187,52,48,,SD
188,52,49,,
189,52,50,,PR
190,52,51,,SD
191,52,52,,SD
192,52,53,,SD
193,52,54,,SD
194,52,55,,SD
195,52,56,,NA
196,52,57,,PR
197,52,58,,SD
198,52,59,,SD
199,52,60,,SD
200,52,61,,SD
201,52,62,,
202,52,63,,PR
203,52,64,,PR
204,52,65,,NA
205,52,66,,PR
206,52,67,,CR
207,52,68,,SD
208,52,69,,SD
209,52,70,,SD
210,52,71,,SD
211,52,72,,PR
212,52,73,,SD
213,52,74,,
214,52,75,,PR
215,52,76,,SD
216,22,34,,SD
217,22,35,,SD
218,22,36,,SD
219,22,37,,PD
220,22,38,,
221,22,39,,SD
222,22,40,,SD
223,22,41,,SD
224,22,42,,SD
225,22,43,,PD
226,22,44,,PD
227,22,45,,SD
228,22,46,,SD
229,22,47,,SD
230,22,48,,SD
231,22,49,,
232,22,50,,SD
233,22,51,,SD
234,22,52,,PD
235,22,53,,SD
236,22,54,,SD
237,22,55,,SD
238,22,56,,SD
239,22,57,,CR
240,22,58,,SD
241,22,59,,SD
242,22,60,,SD
243,22,61,,CR
244,22,62,,
245,22,63,,PR
246,22,64,,SD
247,22,65,,PR
248,22,66,,SD
249,22,67,,PR
250,22,68,,SD
251,22,69,,SD
252,22,70,,SD
253,22,71,,PD
254,22,72,,SD
255,22,73,,SD
256,22,74,,
257,22,75,,SD
258,22,76,,SD
259,4,34,,PD
260,4,35,,PD
261,4,36,,SD
262,4,37,,PD
263,4,38,,
264,4,39,,SD
265,4,40,,PD
266,4,41,,PD
267,4,42,,SD
268,4,43,,PD
269,4,44,,PD
270,4,45,,PD
271,4,46,,PD
272,4,47,,PD
273,4,48,,PD
274,4,49,,
275,4,50,,SD
276,4,51,,PD
277,4,52,,SD
278,4,53,,PD
279,4,54,,PD
280,4,55,,SD
281,4,56,,PD
282,4,57,,SD
283,4,58,,PD
284,4,59,,PD
285,4,60,,PD
286,4,61,,SD
287,4,62,,
288,4,63,,PD
289,4,64,,SD
290,4,65,,SD
291,4,66,,SD
292,4,67,,SD
293,4,68,,PD
294,4,69,,PD
295,4,70,,PD
296,4,71,,PD
297,4,72,,PD
298,4,73,,SD
299,4,74,,
300,4,75,,PD
301,4,76,,PD
302,5,34,,SD
303,5,35,,SD
304,5,36,,SD
305,5,37,,PD
306,5,38,,
307,5,39,,PD
308,5,40,,SD
309,5,41,,SD
310,5,42,,SD
311,5,43,,SD
312,5,44,,SD
313,5,45,,PR
314,5,46,,PD
315,5,47,,SD
316,5,48,,SD
317,5,49,,
318,5,50,,PD
319,5,51,,PD
320,5,52,,SD
321,5,53,,SD
322,5,54,,PD
323,5,55,,SD
324,5,56,,SD
325,5,57,,PR
326,5,58,,SD
327,5,59,,PD
328,5,60,,PD
329,5,61,,PR
330,5,62,,
331,5,63,,SD
332,5,64,,PR
333,5,65,,PR
334,5,66,,SD
335,5,67,,CR
336,5,68,,PR
337,5,69,,SD
338,5,70,,PD
339,5,71,,SD
340,5,72,,SD
341,5,73,,SD
342,5,74,,
343,5,75,,PD
344,5,76,,PD
345,26,34,,SD
346,26,35,,PD
347,26,36,,PD
348,26,37,,PD
349,26,38,,
350,26,39,,PD
351,26,40,,SD
352,26,41,,PD
353,26,42,,SD
354,26,43,,PD
355,26,44,,PD
356,26,45,,PD
357,26,46,,PD
358,26,47,,PD
359,26,48,,PD
360,26,49,,
361,26,50,,SD
362,26,51,,PD
363,26,52,,PD
364,26,53,,PD
365,26,54,,PD
366,26,55,,PD
367,26,56,,SD
368,26,57,,SD
369,26,58,,SD
370,26,59,,PD
371,26,60,,PD
372,26,61,,PD
373,26,62,,
374,26,63,,SD
375,26,64,,PD
376,26,65,,PD
377,26,66,,SD
378,26,67,,SD
379,26,68,,SD
380,26,69,,SD
381,26,70,,PD
382,26,71,,PD
383,26,72,,PD
384,26,73,,SD
385,26,74,,
386,26,75,,SD
387,26,76,,PD
388,49,34,,SD
389,49,35,,SD
390,49,36,,SD
391,49,37,,SD
392,49,38,,
393,49,39,,PD
394,49,40,,PD
395,49,41,,PD
396,49,42,,PD
397,49,43,,PD
398,49,44,,
399,49,45,,PD
