id,model_id,biobase_id,mDataType
1,X.1655.biib,X-1655,RNASeq_FPKM
2,X.1655.BK20,X-1655,RNASeq_FPKM
3,X.1655.BK20.enib,X-1655,RNASeq_FPKM
4,X.1655.CG97,X-1655,RNASeq_FPKM
5,X.1655.CL57,X-1655,RNASeq_FPKM
6,X.1655.dane,X-1655,RNASeq_FPKM
7,X.1655.enib,X-1655,RNASeq_FPKM
8,X.1655.enib.biib,X-1655,RNASeq_FPKM
9,X.1655.LD25,X-1655,RNASeq_FPKM
10,X.1655.LD78,X-1655,RNASeq_FPKM
11,X.1655.LE11,X-1655,RNASeq_FPKM
12,X.1655.LE11.biib,X-1655,RNASeq_FPKM
13,X.1655.LE11.enib,X-1655,RNASeq_FPKM
14,X.1655.LG13,X-1655,RNASeq_FPKM
15,X.1655.TA66,X-1655,RNASeq_FPKM
16,X.1655.uned,X-1655,RNASeq_FPKM
17,X.1655.WN74,X-1655,RNASeq_FPKM
18,X.1906.biib,X-1906,RNASeq_FPKM
19,X.1906.BK20,X-1906,RNASeq_FPKM
20,X.1906.BK20.enib,X-1906,RNASeq_FPKM
21,X.1906.CG97,X-1906,RNASeq_FPKM
22,X.1906.CL57,X-1906,RNASeq_FPKM
23,X.1906.dane,X-1906,RNASeq_FPKM
24,X.1906.enib,X-1906,RNASeq_FPKM
25,X.1906.enib.biib,X-1906,RNASeq_FPKM
26,X.1906.LD25,X-1906,RNASeq_FPKM
27,X.1906.LD78,X-1906,RNASeq_FPKM
28,X.1906.LE11,X-1906,RNASeq_FPKM
29,X.1906.LE11.biib,X-1906,RNASeq_FPKM
30,X.1906.LE11.enib,X-1906,RNASeq_FPKM
31,X.1906.LG13,X-1906,RNASeq_FPKM
32,X.1906.TA66,X-1906,RNASeq_FPKM
33,X.1906.uned,X-1906,RNASeq_FPKM
34,X.1906.WN74,X-1906,RNASeq_FPKM
35,X.2163.biib,X-2163,RNASeq_FPKM
36,X.2163.BK20,X-2163,RNASeq_FPKM
37,X.2163.BK20.enib,X-2163,RNASeq_FPKM
38,X.2163.CG97,X-2163,RNASeq_FPKM
39,X.2163.CL57,X-2163,RNASeq_FPKM
40,X.2163.dane,X-2163,RNASeq_FPKM
41,X.2163.enib,X-2163,RNASeq_FPKM
42,X.2163.enib.biib,X-2163,RNASeq_FPKM
43,X.2163.LD25,X-2163,RNASeq_FPKM
44,X.2163.LD78,X-2163,RNASeq_FPKM
45,X.2163.LE11,X-2163,RNASeq_FPKM
46,X.2163.LE11.biib,X-2163,RNASeq_FPKM
47,X.2163.LE11.enib,X-2163,RNASeq_FPKM
48,X.2163.LG13,X-2163,RNASeq_FPKM
49,X.2163.TA66,X-2163,RNASeq_FPKM
50,X.2163.uned,X-2163,RNASeq_FPKM
51,X.2163.WN74,X-2163,RNASeq_FPKM
52,X.2306.biib,X-2306,RNASeq_FPKM
53,X.2306.BK20,X-2306,RNASeq_FPKM
54,X.2306.BK20.enib,X-2306,RNASeq_FPKM
55,X.2306.CG97,X-2306,RNASeq_FPKM
56,X.2306.CL57,X-2306,RNASeq_FPKM
57,X.2306.dane,X-2306,RNASeq_FPKM
58,X.2306.enib,X-2306,RNASeq_FPKM
59,X.2306.enib.biib,X-2306,RNASeq_FPKM
60,X.2306.LD25,X-2306,RNASeq_FPKM
61,X.2306.LD78,X-2306,RNASeq_FPKM
62,X.2306.LE11,X-2306,RNASeq_FPKM
63,X.2306.LE11.biib,X-2306,RNASeq_FPKM
64,X.2306.LE11.enib,X-2306,RNASeq_FPKM
65,X.2306.LG13,X-2306,RNASeq_FPKM
66,X.2306.TA66,X-2306,RNASeq_FPKM
67,X.2306.uned,X-2306,RNASeq_FPKM
68,X.2306.WN74,X-2306,RNASeq_FPKM
69,X.2602.biib,X-2602,RNASeq_FPKM
70,X.2602.BK20,X-2602,RNASeq_FPKM
71,X.2602.BK20.enib,X-2602,RNASeq_FPKM
72,X.2602.CG97,X-2602,RNASeq_FPKM
73,X.2602.dane,X-2602,RNASeq_FPKM
74,X.2602.enib,X-2602,RNASeq_FPKM
75,X.2602.enib.biib,X-2602,RNASeq_FPKM
76,X.2602.LD25,X-2602,RNASeq_FPKM
77,X.2602.LD78,X-2602,RNASeq_FPKM
78,X.2602.LE11,X-2602,RNASeq_FPKM
79,X.2602.LE11.enib,X-2602,RNASeq_FPKM
80,X.2602.LG13,X-2602,RNASeq_FPKM
81,X.2602.TA66,X-2602,RNASeq_FPKM
82,X.2602.uned,X-2602,RNASeq_FPKM
83,X.2602.WN74,X-2602,RNASeq_FPKM
84,X.2613.biib,X-2613,RNASeq_FPKM
85,X.2613.BK20,X-2613,RNASeq_FPKM
86,X.2613.BK20.enib,X-2613,RNASeq_FPKM
87,X.2613.CG97,X-2613,RNASeq_FPKM
88,X.2613.CL57,X-2613,RNASeq_FPKM
89,X.2613.dane,X-2613,RNASeq_FPKM
90,X.2613.enib,X-2613,RNASeq_FPKM
91,X.2613.enib.biib,X-2613,RNASeq_FPKM
92,X.2613.LD25,X-2613,RNASeq_FPKM
93,X.2613.LD78,X-2613,RNASeq_FPKM
94,X.2613.LE11,X-2613,RNASeq_FPKM
95,X.2613.LE11.biib,X-2613,RNASeq_FPKM
96,X.2613.LE11.enib,X-2613,RNASeq_FPKM
97,X.2613.LG13,X-2613,RNASeq_FPKM
98,X.2613.TA66,X-2613,RNASeq_FPKM
99,X.2613.uned,X-2613,RNASeq_FPKM
100,X.2613.WN74,X-2613,RNASeq_FPKM
101,X.2700.biib,X-2700,RNASeq_FPKM
102,X.2700.BK20,X-2700,RNASeq_FPKM
103,X.2700.BK20.enib,X-2700,RNASeq_FPKM
104,X.2700.CG97,X-2700,RNASeq_FPKM
105,X.2700.CL57,X-2700,RNASeq_FPKM
106,X.2700.dane,X-2700,RNASeq_FPKM
107,X.2700.enib,X-2700,RNASeq_FPKM
108,X.2700.enib.biib,X-2700,RNASeq_FPKM
109,X.2700.LD25,X-2700,RNASeq_FPKM
110,X.2700.LD78,X-2700,RNASeq_FPKM
111,X.2700.LE11,X-2700,RNASeq_FPKM
112,X.2700.LE11.biib,X-2700,RNASeq_FPKM
113,X.2700.LE11.enib,X-2700,RNASeq_FPKM
114,X.2700.LG13,X-2700,RNASeq_FPKM
115,X.2700.TA66,X-2700,RNASeq_FPKM
116,X.2700.uned,X-2700,RNASeq_FPKM
117,X.2700.WN74,X-2700,RNASeq_FPKM
118,X.2723.biib,X-2723,RNASeq_FPKM
119,X.2723.BK20,X-2723,RNASeq_FPKM
120,X.2723.BK20.enib,X-2723,RNASeq_FPKM
121,X.2723.CG97,X-2723,RNASeq_FPKM
122,X.2723.CL57,X-2723,RNASeq_FPKM
123,X.2723.dane,X-2723,RNASeq_FPKM
124,X.2723.enib,X-2723,RNASeq_FPKM
125,X.2723.enib.biib,X-2723,RNASeq_FPKM
126,X.2723.LD25,X-2723,RNASeq_FPKM
127,X.2723.LD78,X-2723,RNASeq_FPKM
128,X.2723.LE11,X-2723,RNASeq_FPKM
129,X.2723.LE11.biib,X-2723,RNASeq_FPKM
130,X.2723.LE11.enib,X-2723,RNASeq_FPKM
131,X.2723.LG13,X-2723,RNASeq_FPKM
132,X.2723.TA66,X-2723,RNASeq_FPKM
133,X.2723.uned,X-2723,RNASeq_FPKM
134,X.2723.WN74,X-2723,RNASeq_FPKM
135,X.2753.biib,X-2753,RNASeq_FPKM
136,X.2753.BK20,X-2753,RNASeq_FPKM
137,X.2753.BK20.enib,X-2753,RNASeq_FPKM
138,X.2753.CG97,X-2753,RNASeq_FPKM
139,X.2753.CL57,X-2753,RNASeq_FPKM
140,X.2753.dane,X-2753,RNASeq_FPKM
141,X.2753.enib,X-2753,RNASeq_FPKM
142,X.2753.enib.biib,X-2753,RNASeq_FPKM
143,X.2753.LD25,X-2753,RNASeq_FPKM
144,X.2753.LD78,X-2753,RNASeq_FPKM
145,X.2753.LE11,X-2753,RNASeq_FPKM
146,X.2753.LE11.biib,X-2753,RNASeq_FPKM
147,X.2753.LE11.enib,X-2753,RNASeq_FPKM
148,X.2753.LG13,X-2753,RNASeq_FPKM
149,X.2753.TA66,X-2753,RNASeq_FPKM
150,X.2753.uned,X-2753,RNASeq_FPKM
151,X.2753.WN74,X-2753,RNASeq_FPKM
152,X.2838.biib,X-2838,RNASeq_FPKM
