model_id,tissue_id,tissue,patient_id,drug,tested,dataset
X.007.BG98,GC,Gastric Cancer,X-007,BGJ398,TRUE,4
X.007.biib,GC,Gastric Cancer,X-007,binimetinib,TRUE,4
X.007.BK20,GC,Gastric Cancer,X-007,BKM120,TRUE,4
X.007.BY19,GC,Gastric Cancer,X-007,BYL719,TRUE,4
X.007.BY19.HS90,GC,Gastric Cancer,X-007,BYL719 + HSP990,TRUE,4
X.007.BY19.LJ16,GC,Gastric Cancer,X-007,BYL719 + LJM716,TRUE,4
X.007.CL57,GC,Gastric Cancer,X-007,CLR457,TRUE,4
X.007.evus,GC,Gastric Cancer,X-007,everolimus,TRUE,4
X.007.fiab,GC,Gastric Cancer,X-007,figitumumab,TRUE,4
X.007.HD01,GC,Gastric Cancer,X-007,HDM201,TRUE,4
X.007.HS90,GC,Gastric Cancer,X-007,HSP990,TRUE,4
X.007.IN80,GC,Gastric Cancer,X-007,INC280,TRUE,4
X.007.IN80.trab,GC,Gastric Cancer,X-007,INC280 + trastuzumab,TRUE,4
X.007.LE11,GC,Gastric Cancer,X-007,LEE011,TRUE,4
X.007.LE11.evus,GC,Gastric Cancer,X-007,LEE011 + everolimus,TRUE,4
X.007.LJ16,GC,Gastric Cancer,X-007,LJM716,TRUE,4
X.007.LJ16.trab,GC,Gastric Cancer,X-007,LJM716 + trastuzumab,TRUE,4
X.007.LL71,GC,Gastric Cancer,X-007,LLM871,TRUE,4
X.007.trab,GC,Gastric Cancer,X-007,trastuzumab,TRUE,4
X.010.BG98,GC,Gastric Cancer,X-010,BGJ398,TRUE,4
X.010.biib,GC,Gastric Cancer,X-010,binimetinib,TRUE,4
X.010.BK20,GC,Gastric Cancer,X-010,BKM120,TRUE,4
X.010.BY19,GC,Gastric Cancer,X-010,BYL719,TRUE,4
X.010.BY19.HS90,GC,Gastric Cancer,X-010,BYL719 + HSP990,TRUE,4
X.010.BY19.LJ16,GC,Gastric Cancer,X-010,BYL719 + LJM716,TRUE,4
X.010.CL57,GC,Gastric Cancer,X-010,CLR457,TRUE,4
X.010.evus,GC,Gastric Cancer,X-010,everolimus,TRUE,4
X.010.fiab,GC,Gastric Cancer,X-010,figitumumab,TRUE,4
X.010.HD01,GC,Gastric Cancer,X-010,HDM201,TRUE,4
X.010.HS90,GC,Gastric Cancer,X-010,HSP990,TRUE,4
X.010.IN80,GC,Gastric Cancer,X-010,INC280,TRUE,4
X.010.IN80.trab,GC,Gastric Cancer,X-010,INC280 + trastuzumab,TRUE,4
X.010.LE11,GC,Gastric Cancer,X-010,LEE011,TRUE,4
X.010.LE11.evus,GC,Gastric Cancer,X-010,LEE011 + everolimus,TRUE,4
X.010.LJ16,GC,Gastric Cancer,X-010,LJM716,TRUE,4
X.010.LJ16.trab,GC,Gastric Cancer,X-010,LJM716 + trastuzumab,TRUE,4
X.010.LL71,GC,Gastric Cancer,X-010,LLM871,TRUE,4
X.010.trab,GC,Gastric Cancer,X-010,trastuzumab,TRUE,4
X.010.uned,GC,Gastric Cancer,X-010,untreated,TRUE,4
X.011.BG98,GC,Gastric Cancer,X-011,BGJ398,TRUE,4
X.011.biib,GC,Gastric Cancer,X-011,binimetinib,TRUE,4
X.011.BK20,GC,Gastric Cancer,X-011,BKM120,TRUE,4
X.011.BY19,GC,Gastric Cancer,X-011,BYL719,TRUE,4
X.011.BY19.HS90,GC,Gastric Cancer,X-011,BYL719 + HSP990,TRUE,4
X.011.BY19.LJ16,GC,Gastric Cancer,X-011,BYL719 + LJM716,TRUE,4
X.011.CL57,GC,Gastric Cancer,X-011,CLR457,TRUE,4
X.011.evus,GC,Gastric Cancer,X-011,everolimus,TRUE,4
X.011.fiab,GC,Gastric Cancer,X-011,figitumumab,TRUE,4
X.011.HD01,GC,Gastric Cancer,X-011,HDM201,TRUE,4
X.011.HS90,GC,Gastric Cancer,X-011,HSP990,TRUE,4
X.011.IN80,GC,Gastric Cancer,X-011,INC280,TRUE,4
X.011.IN80.trab,GC,Gastric Cancer,X-011,INC280 + trastuzumab,TRUE,4
X.011.LE11,GC,Gastric Cancer,X-011,LEE011,TRUE,4
X.011.LE11.evus,GC,Gastric Cancer,X-011,LEE011 + everolimus,TRUE,4
X.011.LJ16,GC,Gastric Cancer,X-011,LJM716,TRUE,4
X.011.LJ16.trab,GC,Gastric Cancer,X-011,LJM716 + trastuzumab,TRUE,4
X.011.LL71,GC,Gastric Cancer,X-011,LLM871,TRUE,4
X.011.trab,GC,Gastric Cancer,X-011,trastuzumab,TRUE,4
X.015.BG98,GC,Gastric Cancer,X-015,BGJ398,TRUE,4
X.015.biib,GC,Gastric Cancer,X-015,binimetinib,TRUE,4
X.015.BK20,GC,Gastric Cancer,X-015,BKM120,TRUE,4
X.015.BY19,GC,Gastric Cancer,X-015,BYL719,TRUE,4
X.015.BY19.HS90,GC,Gastric Cancer,X-015,BYL719 + HSP990,TRUE,4
X.015.BY19.LJ16,GC,Gastric Cancer,X-015,BYL719 + LJM716,TRUE,4
X.015.CL57,GC,Gastric Cancer,X-015,CLR457,TRUE,4
X.015.evus,GC,Gastric Cancer,X-015,everolimus,TRUE,4
X.015.fiab,GC,Gastric Cancer,X-015,figitumumab,TRUE,4
X.015.HD01,GC,Gastric Cancer,X-015,HDM201,TRUE,4
X.015.HS90,GC,Gastric Cancer,X-015,HSP990,TRUE,4
X.015.IN80,GC,Gastric Cancer,X-015,INC280,TRUE,4
X.015.IN80.trab,GC,Gastric Cancer,X-015,INC280 + trastuzumab,TRUE,4
X.015.LE11,GC,Gastric Cancer,X-015,LEE011,TRUE,4
X.015.LE11.evus,GC,Gastric Cancer,X-015,LEE011 + everolimus,TRUE,4
X.015.LJ16,GC,Gastric Cancer,X-015,LJM716,TRUE,4
X.015.LJ16.trab,GC,Gastric Cancer,X-015,LJM716 + trastuzumab,TRUE,4
X.015.LL71,GC,Gastric Cancer,X-015,LLM871,TRUE,4
X.015.trab,GC,Gastric Cancer,X-015,trastuzumab,TRUE,4
X.015.uned,GC,Gastric Cancer,X-015,untreated,TRUE,4
X.017.BG98,GC,Gastric Cancer,X-017,BGJ398,TRUE,4
X.017.biib,GC,Gastric Cancer,X-017,binimetinib,TRUE,4
X.017.BK20,GC,Gastric Cancer,X-017,BKM120,TRUE,4
X.017.BY19,GC,Gastric Cancer,X-017,BYL719,TRUE,4
X.017.BY19.HS90,GC,Gastric Cancer,X-017,BYL719 + HSP990,TRUE,4
X.017.BY19.LJ16,GC,Gastric Cancer,X-017,BYL719 + LJM716,TRUE,4
X.017.CL57,GC,Gastric Cancer,X-017,CLR457,TRUE,4
X.017.evus,GC,Gastric Cancer,X-017,everolimus,TRUE,4
X.017.fiab,GC,Gastric Cancer,X-017,figitumumab,TRUE,4
X.017.HD01,GC,Gastric Cancer,X-017,HDM201,TRUE,4
X.017.HS90,GC,Gastric Cancer,X-017,HSP990,TRUE,4
X.017.IN80,GC,Gastric Cancer,X-017,INC280,TRUE,4
X.017.IN80.trab,GC,Gastric Cancer,X-017,INC280 + trastuzumab,TRUE,4
X.017.LE11,GC,Gastric Cancer,X-017,LEE011,TRUE,4
X.017.LJ16,GC,Gastric Cancer,X-017,LJM716,TRUE,4
X.017.LJ16.trab,GC,Gastric Cancer,X-017,LJM716 + trastuzumab,TRUE,4
X.017.LL71,GC,Gastric Cancer,X-017,LLM871,TRUE,4
X.017.trab,GC,Gastric Cancer,X-017,trastuzumab,TRUE,4
X.017.uned,GC,Gastric Cancer,X-017,untreated,TRUE,4
X.020.BG98,GC,Gastric Cancer,X-020,BGJ398,TRUE,4
X.020.biib,GC,Gastric Cancer,X-020,binimetinib,TRUE,4
X.020.BK20,GC,Gastric Cancer,X-020,BKM120,TRUE,4
X.020.BY19,GC,Gastric Cancer,X-020,BYL719,TRUE,4
X.020.BY19.HS90,GC,Gastric Cancer,X-020,BYL719 + HSP990,TRUE,4
X.020.BY19.LJ16,GC,Gastric Cancer,X-020,BYL719 + LJM716,TRUE,4
X.020.CL57,GC,Gastric Cancer,X-020,CLR457,TRUE,4
X.020.evus,GC,Gastric Cancer,X-020,everolimus,TRUE,4
X.020.fiab,GC,Gastric Cancer,X-020,figitumumab,TRUE,4
X.020.HD01,GC,Gastric Cancer,X-020,HDM201,TRUE,4
X.020.HS90,GC,Gastric Cancer,X-020,HSP990,TRUE,4
X.020.IN80,GC,Gastric Cancer,X-020,INC280,TRUE,4
X.020.IN80.trab,GC,Gastric Cancer,X-020,INC280 + trastuzumab,TRUE,4
X.020.LE11,GC,Gastric Cancer,X-020,LEE011,TRUE,4
X.020.LE11.evus,GC,Gastric Cancer,X-020,LEE011 + everolimus,TRUE,4
X.020.LJ16,GC,Gastric Cancer,X-020,LJM716,TRUE,4
X.020.LJ16.trab,GC,Gastric Cancer,X-020,LJM716 + trastuzumab,TRUE,4
X.020.LL71,GC,Gastric Cancer,X-020,LLM871,TRUE,4
X.020.trab,GC,Gastric Cancer,X-020,trastuzumab,TRUE,4
X.020.uned,GC,Gastric Cancer,X-020,untreated,TRUE,4
X.023.BY19,GC,Gastric Cancer,X-023,BYL719,TRUE,4
X.023.BY19.HS90,GC,Gastric Cancer,X-023,BYL719 + HSP990,TRUE,4
X.023.BY19.LJ16,GC,Gastric Cancer,X-023,BYL719 + LJM716,TRUE,4
X.023.evus,GC,Gastric Cancer,X-023,everolimus,TRUE,4
X.023.HS90,GC,Gastric Cancer,X-023,HSP990,TRUE,4
X.023.LE11,GC,Gastric Cancer,X-023,LEE011,TRUE,4
X.023.LE11.evus,GC,Gastric Cancer,X-023,LEE011 + everolimus,TRUE,4
X.023.LJ16,GC,Gastric Cancer,X-023,LJM716,TRUE,4
X.023.uned,GC,Gastric Cancer,X-023,untreated,TRUE,4
X.024.BY19,GC,Gastric Cancer,X-024,BYL719,TRUE,4
X.024.BY19.HS90,GC,Gastric Cancer,X-024,BYL719 + HSP990,TRUE,4
X.024.BY19.LJ16,GC,Gastric Cancer,X-024,BYL719 + LJM716,TRUE,4
X.024.evus,GC,Gastric Cancer,X-024,everolimus,TRUE,4
X.024.HS90,GC,Gastric Cancer,X-024,HSP990,TRUE,4
X.024.LE11,GC,Gastric Cancer,X-024,LEE011,TRUE,4
X.024.LE11.evus,GC,Gastric Cancer,X-024,LEE011 + everolimus,TRUE,4
X.024.LJ16,GC,Gastric Cancer,X-024,LJM716,TRUE,4
X.024.uned,GC,Gastric Cancer,X-024,untreated,TRUE,4
X.025.BG98,GC,Gastric Cancer,X-025,BGJ398,TRUE,4
X.025.biib,GC,Gastric Cancer,X-025,binimetinib,TRUE,4
X.025.BK20,GC,Gastric Cancer,X-025,BKM120,TRUE,4
X.025.BY19,GC,Gastric Cancer,X-025,BYL719,TRUE,4
X.025.BY19.HS90,GC,Gastric Cancer,X-025,BYL719 + HSP990,TRUE,4
X.025.BY19.LJ16,GC,Gastric Cancer,X-025,BYL719 + LJM716,TRUE,4
X.025.CL57,GC,Gastric Cancer,X-025,CLR457,TRUE,4
X.025.evus,GC,Gastric Cancer,X-025,everolimus,TRUE,4
X.025.fiab,GC,Gastric Cancer,X-025,figitumumab,TRUE,4
X.025.HD01,GC,Gastric Cancer,X-025,HDM201,TRUE,4
X.025.HS90,GC,Gastric Cancer,X-025,HSP990,TRUE,4
X.025.IN80,GC,Gastric Cancer,X-025,INC280,TRUE,4
X.025.IN80.trab,GC,Gastric Cancer,X-025,INC280 + trastuzumab,TRUE,4
X.025.LE11,GC,Gastric Cancer,X-025,LEE011,TRUE,4
X.025.LE11.evus,GC,Gastric Cancer,X-025,LEE011 + everolimus,TRUE,4
X.025.LJ16,GC,Gastric Cancer,X-025,LJM716,TRUE,4
X.025.LJ16.trab,GC,Gastric Cancer,X-025,LJM716 + trastuzumab,TRUE,4
X.025.trab,GC,Gastric Cancer,X-025,trastuzumab,TRUE,4
X.025.uned,GC,Gastric Cancer,X-025,untreated,TRUE,4
X.027.BK20,GC,Gastric Cancer,X-027,BKM120,TRUE,4
X.027.BY19,GC,Gastric Cancer,X-027,BYL719,TRUE,4
X.027.BY19.HS90,GC,Gastric Cancer,X-027,BYL719 + HSP990,TRUE,4
X.027.CL57,GC,Gastric Cancer,X-027,CLR457,TRUE,4
X.027.fiab,GC,Gastric Cancer,X-027,figitumumab,TRUE,4
X.027.HD01,GC,Gastric Cancer,X-027,HDM201,TRUE,4
X.027.LE11,GC,Gastric Cancer,X-027,LEE011,TRUE,4
X.027.LJ16,GC,Gastric Cancer,X-027,LJM716,TRUE,4
X.027.LL71,GC,Gastric Cancer,X-027,LLM871,TRUE,4
X.027.trab,GC,Gastric Cancer,X-027,trastuzumab,TRUE,4
X.028.BG98,GC,Gastric Cancer,X-028,BGJ398,TRUE,4
X.028.biib,GC,Gastric Cancer,X-028,binimetinib,TRUE,4
X.028.BK20,GC,Gastric Cancer,X-028,BKM120,TRUE,4
X.028.BY19,GC,Gastric Cancer,X-028,BYL719,TRUE,4
X.028.BY19.HS90,GC,Gastric Cancer,X-028,BYL719 + HSP990,TRUE,4
X.028.BY19.LJ16,GC,Gastric Cancer,X-028,BYL719 + LJM716,TRUE,4
X.028.CL57,GC,Gastric Cancer,X-028,CLR457,TRUE,4
X.028.evus,GC,Gastric Cancer,X-028,everolimus,TRUE,4
X.028.fiab,GC,Gastric Cancer,X-028,figitumumab,TRUE,4
X.028.HD01,GC,Gastric Cancer,X-028,HDM201,TRUE,4
X.028.HS90,GC,Gastric Cancer,X-028,HSP990,TRUE,4
X.028.IN80,GC,Gastric Cancer,X-028,INC280,TRUE,4
X.028.IN80.trab,GC,Gastric Cancer,X-028,INC280 + trastuzumab,TRUE,4
X.028.LE11,GC,Gastric Cancer,X-028,LEE011,TRUE,4
X.028.LE11.evus,GC,Gastric Cancer,X-028,LEE011 + everolimus,TRUE,4
X.028.LJ16,GC,Gastric Cancer,X-028,LJM716,TRUE,4
X.028.LJ16.trab,GC,Gastric Cancer,X-028,LJM716 + trastuzumab,TRUE,4
X.028.LL71,GC,Gastric Cancer,X-028,LLM871,TRUE,4
X.028.trab,GC,Gastric Cancer,X-028,trastuzumab,TRUE,4
X.029.BG98,GC,Gastric Cancer,X-029,BGJ398,TRUE,4
X.029.biib,GC,Gastric Cancer,X-029,binimetinib,TRUE,4
X.029.BK20,GC,Gastric Cancer,X-029,BKM120,TRUE,4
