"","model.id","biobase.id","mDataType"
"1","X.1004.BG98","X-1004","RNASeq_FPKM"
"2","X.1004.biib","X-1004","RNASeq_FPKM"
"3","X.1004.BK20","X-1004","RNASeq_FPKM"
"4","X.1004.BY19","X-1004","RNASeq_FPKM"
"5","X.1004.BY19.LE11","X-1004","RNASeq_FPKM"
"6","X.1004.BY19.LJ16","X-1004","RNASeq_FPKM"
"7","X.1004.CG97","X-1004","RNASeq_FPKM"
"8","X.1004.CL57","X-1004","RNASeq_FPKM"
"9","X.1004.HD01","X-1004","RNASeq_FPKM"
"10","X.1004.IN24","X-1004","RNASeq_FPKM"
"11","X.1004.LE11","X-1004","RNASeq_FPKM"
"12","X.1004.LE11.evus","X-1004","RNASeq_FPKM"
"13","X.1004.LF02","X-1004","RNASeq_FPKM"
"14","X.1004.LF27.evus","X-1004","RNASeq_FPKM"
"15","X.1004.LJ16","X-1004","RNASeq_FPKM"
"16","X.1004.LJ16.trab","X-1004","RNASeq_FPKM"
"17","X.1004.LK36","X-1004","RNASeq_FPKM"
"18","X.1004.LL71","X-1004","RNASeq_FPKM"
"19","X.1004.pael","X-1004","RNASeq_FPKM"
"20","X.1004.taen","X-1004","RNASeq_FPKM"
"21","X.1004.trab","X-1004","RNASeq_FPKM"
"22","X.1004.uned","X-1004","RNASeq_FPKM"
"23","X.1008.BG98","X-1008","RNASeq_FPKM"
"24","X.1008.biib","X-1008","RNASeq_FPKM"
"25","X.1008.BK20","X-1008","RNASeq_FPKM"
"26","X.1008.BY19","X-1008","RNASeq_FPKM"
"27","X.1008.BY19.LE11","X-1008","RNASeq_FPKM"
"28","X.1008.BY19.LJ16","X-1008","RNASeq_FPKM"
"29","X.1008.CG97","X-1008","RNASeq_FPKM"
"30","X.1008.CL57","X-1008","RNASeq_FPKM"
"31","X.1008.HD01","X-1008","RNASeq_FPKM"
"32","X.1008.IN24","X-1008","RNASeq_FPKM"
"33","X.1008.LE11","X-1008","RNASeq_FPKM"
"34","X.1008.LE11.evus","X-1008","RNASeq_FPKM"
"35","X.1008.LF02","X-1008","RNASeq_FPKM"
"36","X.1008.LF27.evus","X-1008","RNASeq_FPKM"
"37","X.1008.LJ16","X-1008","RNASeq_FPKM"
"38","X.1008.LJ16.trab","X-1008","RNASeq_FPKM"
"39","X.1008.LK36","X-1008","RNASeq_FPKM"
