"","model.id","biobase.id","mDataType"
"3471","X.1004.BG98","X-1004","RNASeq"
"3472","X.1004.biib","X-1004","RNASeq"
"3473","X.1004.BK20","X-1004","RNASeq"
"3474","X.1004.BY19","X-1004","RNASeq"
"3475","X.1004.BY19.LE11","X-1004","RNASeq"
"3476","X.1004.BY19.LJ16","X-1004","RNASeq"
"3477","X.1004.CG97","X-1004","RNASeq"
"3478","X.1004.CL57","X-1004","RNASeq"
"3479","X.1004.HD01","X-1004","RNASeq"
"3480","X.1004.IN24","X-1004","RNASeq"
"3481","X.1004.LE11","X-1004","RNASeq"
"3482","X.1004.LE11.evus","X-1004","RNASeq"
"3483","X.1004.LF02","X-1004","RNASeq"
"3484","X.1004.LF27.evus","X-1004","RNASeq"
"3485","X.1004.LJ16","X-1004","RNASeq"
"3486","X.1004.LJ16.trab","X-1004","RNASeq"
"3487","X.1004.LK36","X-1004","RNASeq"
"3488","X.1004.LL71","X-1004","RNASeq"
"3489","X.1004.pael","X-1004","RNASeq"
"3490","X.1004.taen","X-1004","RNASeq"
"3491","X.1004.trab","X-1004","RNASeq"
"3492","X.1004.uned","X-1004","RNASeq"
"3493","X.1008.BG98","X-1008","RNASeq"
"3494","X.1008.biib","X-1008","RNASeq"
"3495","X.1008.BK20","X-1008","RNASeq"
"3496","X.1008.BY19","X-1008","RNASeq"
"3497","X.1008.BY19.LE11","X-1008","RNASeq"
"3498","X.1008.BY19.LJ16","X-1008","RNASeq"
"3499","X.1008.CG97","X-1008","RNASeq"
"3500","X.1008.CL57","X-1008","RNASeq"
"3501","X.1008.HD01","X-1008","RNASeq"
"3502","X.1008.IN24","X-1008","RNASeq"
"3503","X.1008.LE11","X-1008","RNASeq"
"3504","X.1008.LE11.evus","X-1008","RNASeq"
"3505","X.1008.LF02","X-1008","RNASeq"
"3506","X.1008.LF27.evus","X-1008","RNASeq"
"3507","X.1008.LJ16","X-1008","RNASeq"
"3508","X.1008.LJ16.trab","X-1008","RNASeq"
"3509","X.1008.LK36","X-1008","RNASeq"
"3510","X.1008.LL71","X-1008","RNASeq"
"3511","X.1008.pael","X-1008","RNASeq"
"3512","X.1008.taen","X-1008","RNASeq"
"3513","X.1008.trab","X-1008","RNASeq"
"3514","X.1008.uned","X-1008","RNASeq"
"3515","X.1027.5FFU","X-1027","RNASeq"
"3516","X.1027.biib","X-1027","RNASeq"
"3517","X.1027.BK20","X-1027","RNASeq"
"3518","X.1027.BK20.LJ49","X-1027","RNASeq"
"3519","X.1027.BY19","X-1027","RNASeq"
"3520","X.1027.BY19.biib","X-1027","RNASeq"
"3521","X.1027.BY19.ceab","X-1027","RNASeq"
"3522","X.1027.BY19.ceab.enib","X-1027","RNASeq"
"3523","X.1027.BY19.enib","X-1027","RNASeq"
"3524","X.1027.BY19.LJ16","X-1027","RNASeq"
"3525","X.1027.ceab","X-1027","RNASeq"
"3526","X.1027.ceab.enib","X-1027","RNASeq"
"3527","X.1027.CG97","X-1027","RNASeq"
"3528","X.1027.CK20","X-1027","RNASeq"
"3529","X.1027.CL57","X-1027","RNASeq"
"3530","X.1027.enib","X-1027","RNASeq"
"3531","X.1027.HD01","X-1027","RNASeq"
"3532","X.1027.LE11","X-1027","RNASeq"
"3533","X.1027.LJ49","X-1027","RNASeq"
"3534","X.1027.LK36","X-1027","RNASeq"
"3535","X.1027.uned","X-1027","RNASeq"
"3536","X.1119.5FFU","X-1119","RNASeq"
"3537","X.1119.biib","X-1119","RNASeq"
"3538","X.1119.BK20","X-1119","RNASeq"
"3539","X.1119.BK20.LJ49","X-1119","RNASeq"
"3540","X.1119.BY19","X-1119","RNASeq"
"3541","X.1119.BY19.biib","X-1119","RNASeq"
"3542","X.1119.BY19.ceab","X-1119","RNASeq"
"3543","X.1119.BY19.ceab.enib","X-1119","RNASeq"
"3544","X.1119.BY19.enib","X-1119","RNASeq"
"3545","X.1119.BY19.LJ16","X-1119","RNASeq"
"3546","X.1119.ceab","X-1119","RNASeq"
"3547","X.1119.ceab.enib","X-1119","RNASeq"
"3548","X.1119.CG97","X-1119","RNASeq"
"3549","X.1119.CK20","X-1119","RNASeq"
"3550","X.1119.CL57","X-1119","RNASeq"
"3551","X.1119.enib","X-1119","RNASeq"
"3552","X.1119.HD01","X-1119","RNASeq"
"3553","X.1119.LE11","X-1119","RNASeq"
"3554","X.1119.LF27.biib","X-1119","RNASeq"
"3555","X.1119.LJ49","X-1119","RNASeq"
"3556","X.1119.LK36","X-1119","RNASeq"
"3557","X.1119.uned","X-1119","RNASeq"
"3558","X.1156.BG98","X-1156","RNASeq"
"3559","X.1156.biib","X-1156","RNASeq"
"3560","X.1156.BK20","X-1156","RNASeq"
"3561","X.1156.BK20.biib","X-1156","RNASeq"
"3562","X.1156.BY19","X-1156","RNASeq"
"3563","X.1156.BY19.LG47","X-1156","RNASeq"
"3564","X.1156.BY19.LJ16","X-1156","RNASeq"
"3565","X.1156.ceab","X-1156","RNASeq"
"3566","X.1156.CG97","X-1156","RNASeq"
"3567","X.1156.CK20","X-1156","RNASeq"
"3568","X.1156.CL57","X-1156","RNASeq"
"3569","X.1156.erib","X-1156","RNASeq"
"3570","X.1156.HD01","X-1156","RNASeq"
"3571","X.1156.HS90","X-1156","RNASeq"
"3572","X.1156.IN80","X-1156","RNASeq"
"3573","X.1156.LC61.pael","X-1156","RNASeq"
"3574","X.1156.LE11","X-1156","RNASeq"
"3575","X.1156.LF27.biib","X-1156","RNASeq"
"3576","X.1156.LG47","X-1156","RNASeq"
"3577","X.1156.LL71","X-1156","RNASeq"
"3578","X.1156.pael","X-1156","RNASeq"
"3579","X.1156.uned","X-1156","RNASeq"
"3580","X.1167.5FFU","X-1167","RNASeq"
"3581","X.1167.biib","X-1167","RNASeq"
"3582","X.1167.BK20","X-1167","RNASeq"
