"","gene.id","sequencing.uid","value"
"1","A1BG","X-1004",0.267381320797762
"2","A1BG-AS1","X-1004",0.655329693413929
"3","A1CF","X-1004",-0.703895362320648
"4","A2LD1","X-1004",0.698122087136835
"5","A2M","X-1004",-0.611453777351501
"6","A2ML1","X-1004",-0.56927343300025
"7","A2MP1","X-1004",-0.315798719165964
"8","A4GALT","X-1004",-0.907421722988043
"9","A4GNT","X-1004",-0.31808303915543
"10","AAAS","X-1004",-0.256502478589328
"11","AACS","X-1004",2.01137856616776
"12","AACSP1","X-1004",-0.205280928460838
"13","AADAC","X-1004",-0.738715229008005
"14","AADACL2","X-1004",-0.175564807386345
"15","AADACL3","X-1004",-0.113178815687589
"16","AADACL4","X-1004",-0.172627113531318
"17","AADAT","X-1004",-1.94689808302722
"18","AAGAB","X-1004",-0.532552875355272
